PepID,AMPLabel,Prob
A04601,0,0.0
A04602,0,0.0
A04603,0,0.0
A04604,0,0.0
A04605,0,0.0
A04606,0,0.0
A04607,0,0.0
A04608,0,0.0
A04609,0,0.0
A04610,0,0.0
A04611,0,0.0
A04612,0,0.0
A04613,0,0.0
A04614,0,0.0
A04615,0,0.0
A04616,0,0.0
A04617,1,1.0
A04618,0,0.0
A04619,0,0.0
A04620,0,0.0
A04621,0,0.0
A04622,0,0.0
A04623,1,1.0
A04624,0,0.0
A04625,0,0.0
A04626,0,0.0
A04627,0,0.0
A04628,0,0.0
A04629,1,1.0
A04630,0,0.0
A04631,0,0.0
A04632,0,0.0
A04633,0,0.0
A04634,1,1.0
A04635,0,0.0
A04636,0,0.0
A04637,0,0.0
A04638,0,0.0
A04639,0,0.0
A04640,0,0.0
A04641,1,1.0
A04642,1,1.0
A04643,0,0.0
A04644,1,1.0
A04645,0,0.0
A04646,0,0.0
A04647,1,1.0
A04648,0,0.0
A04649,0,0.0
A04650,0,0.0
A04651,0,0.0
A04652,0,0.0
A04653,1,1.0
A04654,0,0.0
A04655,0,0.0
A04656,0,0.0
A04657,0,0.0
A04658,0,0.0
A04659,0,0.0
A04660,0,0.0
A04661,0,0.0
A04662,1,1.0
A04663,0,0.0
A04664,0,0.0
A04665,0,0.0
A04666,1,1.0
A04667,0,0.0
A04668,1,1.0
A04669,0,0.0
A04670,0,0.0
A04671,0,0.0
A04672,0,0.0
A04673,0,0.0
A04674,0,0.0
A04675,0,0.0
A04676,0,0.0
A04677,1,1.0
A04678,0,0.0
A04679,0,0.0
A04680,0,0.0
A04681,1,1.0
A04682,1,1.0
A04683,0,0.0
A04684,0,0.0
A04685,0,0.0
A04686,0,0.0
A04687,0,0.0
A04688,0,0.0
A04689,0,0.0
A04690,0,0.0
A04691,0,0.0
A04692,0,0.0
A04693,1,1.0
A04694,0,0.0
A04695,0,0.0
A04696,1,1.0
A04697,0,0.0
A04698,0,0.0
A04699,0,0.0
A04700,0,0.0
A04701,0,0.0
A04702,0,0.0
A04703,0,0.0
A04704,0,0.0
A04705,0,0.0
A04706,0,0.0
A04707,0,0.0
A04708,0,0.0
A04709,0,0.0
A04710,0,0.0
A04711,0,0.0
A04712,0,0.0
A04713,0,0.0
A04714,0,0.0
A04715,0,0.0
A04716,0,0.0
A04717,0,0.0
A04718,1,1.0
A04719,0,0.0
A04720,0,0.0
A04721,1,1.0
A04722,0,0.0
A04723,0,0.0
A04724,0,0.0
A04725,0,0.0
A04726,1,1.0
A04727,0,0.0
A04728,0,0.0
A04729,0,0.0
A04730,0,0.0
A04731,0,0.0
A04732,0,0.0
A04733,0,0.0
A04734,1,1.0
A04735,0,0.0
A04736,0,0.0
A04737,0,0.0
A04738,0,0.0
A04739,0,0.0
A04740,0,0.0
A04741,0,0.0
A04742,0,0.0
A04743,1,1.0
A04744,0,0.0
A04745,0,0.0
A04746,0,0.0
A04747,0,0.0
A04748,0,0.0
A04749,0,0.0
A04750,0,0.0
A04751,0,0.0
A04752,0,0.0
A04753,0,0.0
A04754,0,0.0
A04755,1,1.0
A04756,0,0.0
A04757,0,0.0
A04758,0,0.0
A04759,0,0.0
A04760,1,1.0
A04761,0,0.0
A04762,0,0.0
A04763,0,0.0
A04764,0,0.0
A04765,0,0.0
A04766,0,0.0
A04767,0,0.0
A04768,0,0.0
A04769,1,1.0
A04770,0,0.0
A04771,0,0.0
A04772,0,0.0
A04773,0,0.0
A04774,0,0.0
A04775,0,0.0
A04776,0,0.0
A04777,0,0.0
A04778,0,0.0
A04779,0,0.0
A04780,0,0.0
A04781,0,0.0
A04782,0,0.0
A04783,0,0.0
A04784,1,1.0
A04785,0,0.0
A04786,0,0.0
A04787,0,0.0
A04788,0,0.0
A04789,0,0.0
A04790,0,0.0
A04791,0,0.0
A04792,0,0.0
A04793,0,0.0
A04794,0,0.0
A04795,0,0.0
A04796,0,0.0
A04797,0,0.0
A04798,0,0.0
A04799,0,0.0
A04800,0,0.0
A04801,0,0.0
A04802,0,0.0
A04803,1,1.0
A04804,0,0.0
A04805,1,1.0
A04806,0,0.0
A04807,0,0.0
A04808,1,1.0
A04809,0,0.0
A04810,1,1.0
A04811,0,0.0
A04812,0,0.0
A04813,1,1.0
A04814,0,0.0
A04815,0,0.0
A04816,0,0.0
A04817,0,0.0
A04818,1,1.0
A04819,0,0.0
A04820,0,0.0
A04821,0,0.0
A04822,0,0.0
A04823,0,0.0
A04824,0,0.0
A04825,0,0.0
A04826,0,0.0
A04827,0,0.0
A04828,0,0.0
A04829,1,1.0
A04830,0,0.0
A04831,0,0.0
A04832,0,0.0
A04833,0,0.0
A04834,0,0.0
A04835,1,1.0
A04836,1,1.0
A04837,0,0.0
A04838,0,0.0
A04839,0,0.0
A04840,1,1.0
A04841,0,0.0
A04842,0,0.0
A04843,0,0.0
A04844,0,0.0
A04845,0,0.0
A04846,0,0.0
A04847,1,1.0
A04848,0,0.0
A04849,0,0.0
A04850,0,0.0
A04851,0,0.0
A04852,0,0.0
A04853,0,0.0
A04854,0,0.0
A04855,0,0.0
A04856,0,0.0
A04857,0,0.0
A04858,0,0.0
A04859,0,0.0
A04860,0,0.0
A04861,0,0.0
A04862,0,0.0
A04863,0,0.0
A04864,0,0.0
A04865,0,0.0
A04866,0,0.0
A04867,0,0.0
A04868,0,0.0
A04869,0,0.0
A04870,0,0.0
A04871,1,1.0
A04872,1,1.0
A04873,0,0.0
A04874,0,0.0
A04875,1,1.0
A04876,0,0.0
A04877,0,0.0
A04878,0,0.0
A04879,0,0.0
A04880,0,0.0
A04881,0,0.0
A04882,0,0.0
A04883,0,0.0
A04884,0,0.0
A04885,0,0.0
A04886,0,0.0
A04887,0,0.0
A04888,0,0.0
A04889,1,1.0
A04890,0,0.0
A04891,1,1.0
A04892,0,0.0
A04893,1,1.0
A04894,0,0.0
A04895,0,0.0
A04896,0,0.0
A04897,0,0.0
A04898,0,0.0
A04899,0,0.0
A04900,0,0.0
A04901,0,0.0
A04902,0,0.0
A04903,0,0.0
A04904,0,0.0
A04905,0,0.0
A04906,0,0.0
A04907,0,0.0
A04908,0,0.0
A04909,0,0.0
A04910,0,0.0
A04911,1,1.0
A04912,0,0.0
A04913,0,0.0
A04914,0,0.0
A04915,0,0.0
A04916,0,0.0
A04917,0,0.0
