PepID,AMPLabel,Prob
A05601,0,0.067
A05602,0,0.183
A05603,0,0.005
A05604,0,0.164
A05605,0,0.451
A05606,0,0.065
A05607,0,0.141
A05608,0,0.183
A05609,0,0.436
A05610,0,0.21
A05611,0,0.002
A05612,0,0.002
A05613,0,0.068
A05614,0,0.042
A05615,0,0.5
A05616,1,0.875
A05617,0,0.015
A05618,0,0.003
A05619,0,0.008
A05620,0,0.006
A05621,0,0.002
A05622,0,0.001
A05623,0,0.009
A05624,0,0.009
A05625,0,0.017
A05626,0,0.009
A05627,0,0.002
A05628,0,0.001
A05629,0,0.008
A05630,1,0.601
A05631,0,0.091
A05632,0,0.003
A05633,0,0.045
A05634,0,0.151
A05635,1,0.995
A05636,0,0.012
A05637,0,0.034
A05638,0,0.106
A05639,0,0.002
A05640,0,0.042
A05641,0,0.006
A05642,0,0.008
A05643,0,0.144
A05644,1,0.791
A05645,0,0.103
A05646,0,0.124
A05647,1,0.947
A05648,0,0.047
A05649,0,0.003
A05650,0,0.026
A05651,0,0.132
A05652,1,0.557
A05653,1,0.506
A05654,1,0.551
A05655,0,0.037
A05656,0,0.45
A05657,0,0.074
A05658,0,0.058
A05659,0,0.005
A05660,0,0.005
A05661,0,0.0
A05662,0,0.116
A05663,0,0.004
A05664,0,0.024
A05665,0,0.039
A05666,0,0.154
A05667,0,0.133
A05668,0,0.224
A05669,0,0.031
A05670,0,0.443
A05671,0,0.002
A05672,0,0.308
A05673,0,0.407
A05674,0,0.033
A05675,1,0.684
A05676,0,0.195
A05677,0,0.003
A05678,1,0.687
A05679,0,0.152
A05680,0,0.004
A05681,0,0.004
A05682,0,0.002
A05683,0,0.023
A05684,0,0.019
A05685,0,0.257
A05686,1,0.996
A05687,0,0.055
A05688,0,0.109
A05689,0,0.0
A05690,0,0.061
A05691,0,0.001
A05692,0,0.077
A05693,0,0.133
A05694,0,0.134
A05695,0,0.336
A05696,0,0.01
A05697,0,0.012
A05698,0,0.004
A05699,0,0.021
A05700,0,0.004
A05701,0,0.116
A05702,0,0.323
A05703,0,0.005
A05704,0,0.016
A05705,0,0.007
A05706,0,0.299
A05707,0,0.459
A05708,0,0.002
A05709,0,0.003
A05710,0,0.03
A05711,0,0.177
A05712,0,0.131
A05713,0,0.263
A05714,0,0.422
A05715,0,0.07
A05716,1,0.888
A05717,0,0.016
A05718,0,0.064
A05719,0,0.051
A05720,0,0.002
A05721,0,0.176
A05722,0,0.059
A05723,0,0.001
A05724,1,0.733
A05725,1,0.551
A05726,0,0.021
A05727,0,0.02
A05728,0,0.03
A05729,0,0.126
A05730,0,0.014
A05731,1,0.935
A05732,0,0.331
A05733,0,0.016
A05734,0,0.015
A05735,0,0.08
A05736,0,0.012
A05737,0,0.01
A05738,0,0.221
A05739,0,0.039
A05740,0,0.27
A05741,0,0.004
A05742,0,0.037
A05743,1,0.872
A05744,0,0.168
A05745,0,0.0
A05746,0,0.031
A05747,0,0.019
A05748,0,0.262
A05749,0,0.009
A05750,0,0.005
A05751,0,0.01
A05752,0,0.316
A05753,1,0.998
A05754,1,0.684
A05755,0,0.018
A05756,0,0.23
A05757,0,0.485
A05758,1,0.99
A05759,0,0.001
A05760,0,0.395
A05761,1,0.996
A05762,0,0.037
A05763,0,0.008
A05764,0,0.036
A05765,0,0.197
A05766,0,0.032
A05767,0,0.052
A05768,0,0.018
A05769,1,0.999
A05770,0,0.003
A05771,0,0.008
A05772,0,0.132
A05773,1,0.773
A05774,0,0.001
A05775,1,1.0
A05776,0,0.005
A05777,0,0.0
A05778,0,0.134
A05779,0,0.117
A05780,0,0.343
A05781,1,0.966
A05782,0,0.092
A05783,0,0.005
A05784,0,0.08
A05785,0,0.004
A05786,0,0.003
A05787,0,0.141
A05788,1,0.814
A05789,0,0.019
A05790,0,0.013
A05791,0,0.1
A05792,0,0.006
A05793,0,0.077
A05794,0,0.032
A05795,0,0.004
A05796,0,0.012
A05797,0,0.098
A05798,0,0.204
A05799,1,0.919
A05800,0,0.001
A05801,0,0.361
A05802,1,0.92
A05803,0,0.236
A05804,0,0.023
A05805,0,0.046
A05806,0,0.104
A05807,0,0.0
A05808,0,0.021
A05809,0,0.315
A05810,0,0.07
A05811,0,0.044
A05812,0,0.406
A05813,0,0.003
A05814,0,0.008
A05815,0,0.001
A05816,0,0.063
A05817,0,0.002
A05818,0,0.314
A05819,0,0.016
A05820,0,0.014
A05821,1,0.688
A05822,0,0.181
A05823,0,0.07
A05824,0,0.006
A05825,0,0.003
A05826,0,0.08
