PepID,AMPLabel,Prob
D03288,0,0.0
D03289,0,0.0
D03290,0,0.0
D03291,1,1.0
D03292,0,0.0
D03293,1,1.0
D03294,0,0.0
D03295,1,1.0
D03296,1,1.0
D03297,0,0.0
D03298,0,0.0
D03299,0,0.0
D03300,0,0.0
D03301,0,0.0
D03302,1,1.0
D03303,0,0.0
D03304,1,1.0
D03305,0,0.0
D03306,1,1.0
D03307,0,0.0
D03308,1,1.0
D03309,1,1.0
D03310,0,0.0
D03311,1,1.0
D03312,0,0.0
D03313,0,0.0
D03314,0,0.0
D03315,0,0.0
D03316,0,0.0
D03317,0,0.0
D03318,0,0.0
D03319,1,1.0
D03320,0,0.0
D03321,0,0.0
D03322,1,1.0
D03323,0,0.0
D03324,1,1.0
D03325,1,1.0
D03326,1,1.0
D03327,1,1.0
D03328,0,0.0
D03329,1,1.0
D03330,0,0.0
D03331,1,1.0
D03332,1,1.0
D03333,0,0.0
D03334,1,1.0
D03335,1,1.0
D03336,0,0.0
D03337,0,0.0
D03338,0,0.0
D03339,1,1.0
D03340,1,1.0
D03341,0,0.0
D03342,0,0.0
D03343,0,0.0
D03344,0,0.0
D03345,0,0.0
D03346,1,1.0
D03347,1,1.0
D03348,0,0.0
D03349,1,1.0
D03350,1,1.0
D03351,0,0.0
D03352,0,0.0
D03353,1,1.0
D03354,0,0.0
D03355,0,0.0
D03356,0,0.0
D03357,1,1.0
D03358,1,1.0
D03359,1,1.0
D03360,0,0.0
D03361,0,0.0
D03362,1,1.0
D03363,0,0.0
D03364,0,0.0
D03365,0,0.0
D03366,1,1.0
D03367,0,0.0
D03368,0,0.0
D03369,0,0.0
D03370,1,1.0
D03371,1,1.0
D03372,1,1.0
D03373,0,0.0
D03374,1,1.0
D03375,0,0.0
D03376,1,1.0
D03377,0,0.0
D03378,1,1.0
D03379,0,0.0
D03380,1,1.0
D03381,1,1.0
D03382,0,0.0
D03383,1,1.0
D03384,1,1.0
D03385,0,0.0
D03386,1,1.0
D03387,0,0.0
D03388,1,1.0
D03389,1,1.0
D03390,0,0.0
D03391,1,1.0
D03392,0,0.0
D03393,1,1.0
D03394,1,1.0
D03395,0,0.0
D03396,1,1.0
D03397,1,1.0
D03398,0,0.0
D03399,0,0.0
D03400,1,1.0
D03401,0,0.0
D03402,1,1.0
D03403,1,1.0
D03404,1,1.0
D03405,1,1.0
D03406,1,1.0
D03407,1,1.0
D03408,0,0.0
D03409,1,1.0
D03410,1,1.0
D03411,0,0.0
D03412,1,1.0
D03413,1,1.0
D03414,0,0.0
D03415,0,0.0
D03416,1,1.0
D03417,1,1.0
D03418,1,1.0
D03419,0,0.0
D03420,0,0.0
D03421,0,0.0
D03422,1,1.0
D03423,1,1.0
D03424,1,1.0
D03425,0,0.0
D03426,1,1.0
D03427,1,1.0
D03428,0,0.0
D03429,0,0.0
D03430,0,0.0
D03431,0,0.0
D03432,0,0.0
D03433,0,0.0
D03434,1,1.0
D03435,0,0.0
D03436,0,0.0
D03437,0,0.0
D03438,0,0.0
D03439,0,0.0
D03440,0,0.0
D03441,0,0.0
D03442,0,0.0
D03443,0,0.0
D03444,1,1.0
D03445,0,0.0
D03446,0,0.0
D03447,1,1.0
D03448,0,0.0
D03449,0,0.0
D03450,1,1.0
D03451,0,0.0
D03452,0,0.0
D03453,0,0.0
D03454,1,1.0
D03455,1,1.0
D03456,1,1.0
D03457,0,0.0
D03458,1,1.0
D03459,1,1.0
D03460,0,0.0
D03461,0,0.0
D03462,0,0.0
D03463,0,0.0
D03464,0,0.0
D03465,0,0.0
D03466,0,0.0
D03467,0,0.0
D03468,0,0.0
D03469,0,0.0
D03470,1,1.0
D03471,0,0.0
D03472,1,1.0
D03473,1,1.0
D03474,0,0.0
D03475,0,0.0
D03476,0,0.0
D03477,0,0.0
D03478,1,1.0
D03479,1,1.0
D03480,0,0.0
D03481,0,0.0
D03482,1,1.0
D03483,0,0.0
D03484,0,0.0
D03485,0,0.0
D03486,0,0.0
D03487,0,0.0
D03488,0,0.0
D03489,0,0.0
D03490,0,0.0
D03491,1,1.0
D03492,0,0.0
D03493,0,0.0
D03494,0,0.0
D03495,0,0.0
D03496,0,0.0
D03497,0,0.0
D03498,0,0.0
D03499,0,0.0
D03500,0,0.0
D03501,0,0.0
D03502,0,0.0
D03503,0,0.0
D03504,0,0.0
D03505,0,0.0
D03506,0,0.0
D03507,0,0.0
D03508,0,0.0
D03509,0,0.0
D03510,1,1.0
D03511,0,0.0
D03512,0,0.0
D03513,0,0.0
D03514,0,0.0
D03515,0,0.0
D03516,1,1.0
D03517,0,0.0
D03518,0,0.0
D03519,0,0.0
D03520,1,1.0
D03521,1,1.0
D03522,1,1.0
D03523,0,0.0
D03524,0,0.0
D03525,0,0.0
D03526,1,1.0
D03527,0,0.0
D03528,0,0.0
D03529,0,0.0
D03530,1,1.0
D03531,1,1.0
D03532,1,1.0
D03533,1,1.0
D03534,0,0.0
D03535,0,0.0
D03536,0,0.0
D03537,0,0.0
D03538,0,0.0
D03539,0,0.0
D03540,0,0.0
D03541,0,0.0
D03542,0,0.0
D03543,1,1.0
D03544,0,0.0
D03545,0,0.0
D03546,0,0.0
D03547,0,0.0
D03548,0,0.0
D03549,0,0.0
D03550,0,0.0
D03551,0,0.0
D03552,0,0.0
D03553,0,0.0
D03554,0,0.0
D03555,0,0.0
D03556,0,0.0
D03557,1,1.0
D03558,1,1.0
D03559,1,1.0
D03560,1,1.0
D03561,1,1.0
D03562,1,1.0
D03563,0,0.0
D03564,1,1.0
D03565,1,1.0
D03566,1,1.0
D03567,0,0.0
D03568,0,0.0
D03569,0,0.0
D03570,0,0.0
D03571,1,1.0
D03572,1,1.0
D03573,1,1.0
D03574,0,0.0
D03575,0,0.0
D03576,0,0.0
D03577,0,0.0
D03578,0,0.0
D03579,1,1.0
D03580,0,0.0
D03581,0,0.0
D03582,0,0.0
D03583,0,0.0
D03584,0,0.0
D03585,0,0.0
D03586,1,1.0
D03587,1,1.0
D03588,0,0.0
D03589,0,0.0
D03590,1,1.0
D03591,0,0.0
D03592,0,0.0
D03593,0,0.0
D03594,0,0.0
D03596,0,0.0
D03597,0,0.0
D03598,0,0.0
D03599,0,0.0
D03600,0,0.0
D03601,0,0.0
D03602,0,0.0
D03603,1,1.0
D03604,0,0.0
D03605,0,0.0
D03606,0,0.0
D03607,0,0.0
D03608,1,1.0
D03609,0,0.0
D03610,0,0.0
D03611,1,1.0
D03612,0,0.0
D03613,0,0.0
D03614,0,0.0
D03615,0,0.0
D03616,0,0.0
D03617,0,0.0
D03618,1,1.0
D03619,1,1.0
D03620,1,1.0
D03621,0,0.0
D03622,0,0.0
D03623,1,1.0
D03624,1,1.0
D03625,0,0.0
D03626,0,0.0
D03627,0,0.0
D03628,1,1.0
D03629,0,0.0
D03630,0,0.0
D03631,1,1.0
D03632,0,0.0
D03633,1,1.0
D03634,0,0.0
D03635,1,1.0
D03636,0,0.0
D03637,0,0.0
D03595,-999,-999
D03638,0,0.0
D03639,0,0.0
D03640,0,0.0
D03641,0,0.0
D03642,1,1.0
D03643,0,0.0
D03644,0,0.0
D03645,0,0.0
D03646,1,1.0
D03647,0,0.0
D03648,1,1.0
D03649,0,0.0
D03650,0,0.0
D03651,0,0.0
D03652,1,1.0
D03653,0,0.0
D03654,0,0.0
D03655,1,1.0
D03656,0,0.0
D03657,1,1.0
D03658,1,1.0
D03659,1,1.0
D03660,0,0.0
D03661,0,0.0
D03662,1,1.0
D03663,1,1.0
D03664,1,1.0
D03665,0,0.0
D03666,1,1.0
D03667,0,0.0
D03668,0,0.0
D03669,0,0.0
D03670,0,0.0
D03671,1,1.0
D03672,1,1.0
D03673,1,1.0
D03674,1,1.0
D03675,1,1.0
D03676,1,1.0
D03677,1,1.0
D03678,1,1.0
D03679,0,0.0
D03680,0,0.0
D03681,1,1.0
D03682,1,1.0
D03683,0,0.0
D03684,1,1.0
D03685,1,1.0
D03686,0,0.0
D03687,1,1.0
D03688,0,0.0
D03689,0,0.0
D03690,0,0.0
D03691,0,0.0
D03692,0,0.0
D03693,1,1.0
D03694,0,0.0
D03695,0,0.0
D03696,1,1.0
D03697,0,0.0
D03698,1,1.0
D03699,0,0.0
D03700,0,0.0
D03701,0,0.0
D03702,0,0.0
D03703,0,0.0
D03704,0,0.0
D03705,0,0.0
D03706,1,1.0
D03707,1,1.0
D03708,1,1.0
D03709,0,0.0
D03710,0,0.0
D03711,1,1.0
D03712,0,0.0
D03713,0,0.0
D03714,0,0.0
D03715,0,0.0
D03716,0,0.0
D03717,0,0.0
D03718,0,0.0
D03719,0,0.0
D03720,0,0.0
D03721,0,0.0
D03722,0,0.0
D03723,1,1.0
D03724,0,0.0
D03725,1,1.0
D03726,0,0.0
D03727,0,0.0
D03728,0,0.0
D03729,0,0.0
D03730,0,0.0
D03731,0,0.0
D03732,0,0.0
D03733,1,1.0
D03734,0,0.0
D03735,0,0.0
D03736,1,1.0
D03737,0,0.0
D03738,0,0.0
D03739,0,0.0
D03740,0,0.0
D03741,0,0.0
D03742,0,0.0
D03743,0,0.0
D03744,0,0.0
D03745,0,0.0
D03746,0,0.0
D03747,0,0.0
D03748,1,1.0
D03749,0,0.0
D03750,0,0.0
D03751,0,0.0
D03752,0,0.0
D03753,1,1.0
D03754,1,1.0
D03755,1,1.0
D03756,0,0.0
D03757,1,1.0
D03758,0,0.0
D03759,0,0.0
D03760,0,0.0
D03761,0,0.0
D03762,0,0.0
D03763,1,1.0
D03764,0,0.0
D03765,1,1.0
D03766,0,0.0
D03767,1,1.0
D03768,0,0.0
D03769,0,0.0
D03770,0,0.0
D03771,1,1.0
D03772,1,1.0
D03773,0,0.0
D03774,0,0.0
D03775,0,0.0
D03776,0,0.0
D03777,0,0.0
D03778,1,1.0
D03779,0,0.0
D03780,1,1.0
D03781,0,0.0
D03782,0,0.0
D03783,0,0.0
D03784,0,0.0
D03785,0,0.0
D03786,1,1.0
D03787,1,1.0
D03788,0,0.0
D03789,0,0.0
D03790,0,0.0
D03791,0,0.0
D03792,0,0.0
D03793,0,0.0
D03794,0,0.0
D03795,0,0.0
D03796,1,1.0
D03797,1,1.0
D03798,0,0.0
D03799,0,0.0
D03800,0,0.0
D03801,0,0.0
D03802,0,0.0
D03803,1,1.0
D03804,0,0.0
D03805,0,0.0
D03806,0,0.0
D03807,0,0.0
D03808,0,0.0
D03809,0,0.0
D03810,0,0.0
D03811,0,0.0
D03812,0,0.0
D03813,1,1.0
D03814,0,0.0
D03815,1,1.0
D03816,0,0.0
D03817,0,0.0
D03818,0,0.0
D03819,0,0.0
D03820,0,0.0
D03821,1,1.0
D03822,1,1.0
D03823,0,0.0
D03824,1,1.0
D03825,0,0.0
D03826,0,0.0
D03827,1,1.0
D03828,0,0.0
D03829,0,0.0
D03830,0,0.0
D03831,0,0.0
D03832,0,0.0
D03833,0,0.0
D03834,0,0.0
D03835,0,0.0
D03836,0,0.0
D03837,0,0.0
D03838,0,0.0
D03839,0,0.0
D03840,1,1.0
D03841,1,1.0
D03842,0,0.0
D03843,0,0.0
D03844,1,1.0
D03845,1,1.0
D03846,1,1.0
D03847,1,1.0
D03848,0,0.0
D03849,0,0.0
D03850,1,1.0
D03851,1,1.0
D03852,0,0.0
D03853,1,1.0
D03854,1,1.0
D03855,1,1.0
D03856,1,1.0
D03857,1,1.0
D03858,1,1.0
D03859,0,0.0
D03860,1,1.0
D03861,1,1.0
D03862,0,0.0
D03863,0,0.0
D03864,1,1.0
D03865,0,0.0
D03866,0,0.0
D03867,0,0.0
D03868,0,0.0
D03869,1,1.0
D03870,0,0.0
D03871,0,0.0
D03872,0,0.0
D03873,0,0.0
D03874,0,0.0
D03875,0,0.0
D03876,0,0.0
D03877,0,0.0
D03878,0,0.0
D03879,0,0.0
D03880,1,1.0
D03881,1,1.0
D03882,1,1.0
D03883,1,1.0
D03884,1,1.0
D03885,1,1.0
D03886,0,0.0
D03887,0,0.0
D03888,0,0.0
D03889,1,1.0
D03890,0,0.0
D03891,1,1.0
D03892,0,0.0
D03893,1,1.0
D03894,1,1.0
D03895,0,0.0
D03896,1,1.0
D03897,0,0.0
D03898,1,1.0
D03899,1,1.0
D03900,0,0.0
D03901,0,0.0
D03902,0,0.0
D03903,0,0.0
D03904,0,0.0
D03905,1,1.0
D03906,0,0.0
D03907,1,1.0
D03908,1,1.0
D03909,1,1.0
D03910,0,0.0
D03911,0,0.0
D03912,1,1.0
D03913,1,1.0
D03914,0,0.0
D03915,1,1.0
D03916,1,1.0
D03917,1,1.0
D03918,1,1.0
D03919,1,1.0
D03920,0,0.0
D03921,0,0.0
D03922,0,0.0
D03923,1,1.0
D03924,0,0.0
D03925,0,0.0
D03926,0,0.0
D03927,0,0.0
D03928,1,1.0
D03929,0,0.0
D03930,1,1.0
D03931,0,0.0
D03932,0,0.0
D03933,0,0.0
D03934,1,1.0
D03935,1,1.0
D03936,0,0.0
D03937,0,0.0
D03938,0,0.0
D03939,0,0.0
D03940,0,0.0
D03941,0,0.0
D03942,0,0.0
D03943,1,1.0
D03944,1,1.0
D03945,0,0.0
D03946,0,0.0
D03947,0,0.0
D03948,1,1.0
D03949,1,1.0
D03950,1,1.0
D03951,0,0.0
D03952,0,0.0
D03953,1,1.0
D03954,1,1.0
D03955,0,0.0
D03956,0,0.0
D03957,1,1.0
D03958,0,0.0
D03959,1,1.0
D03960,1,1.0
D03961,0,0.0
D03962,0,0.0
D03963,1,1.0
D03964,0,0.0
D03965,0,0.0
D03966,0,0.0
D03967,0,0.0
D03968,1,1.0
