PepID,AMPLabel,Prob
A06791,0,0.259
A06777,0,0.216
A06800,1,0.593
A06712,0,0.084
A06760,0,0.101
A06733,1,1.0
A06711,0,0.031
A06745,0,0.017
A06705,1,0.604
A06778,0,0.041
A06726,0,0.059
A06785,0,0.026
A06729,0,0.038
A06782,0,0.107
A06716,0,0.283
A06721,1,1.0
A06706,0,0.235
A06739,1,1.0
A06715,0,0.104
A06753,0,0.042
A06776,0,0.22
A06788,0,0.245
A06743,1,0.866
A06740,0,0.476
A06727,0,0.155
A06765,0,0.244
A06752,0,0.05
A06798,0,0.158
A06714,0,0.12
A06767,0,0.246
A06731,0,0.014
A06787,0,0.157
A06746,0,0.058
A06754,1,0.617
A06747,0,0.01
A06795,1,0.615
A06708,0,0.005
A06720,1,1.0
A06736,0,0.163
A06763,0,0.044
A06737,0,0.006
A06730,0,0.114
A06701,0,0.077
A06713,0,0.035
A06796,0,0.464
A06779,0,0.164
A06709,1,0.69
A06734,0,0.295
A06755,0,0.084
A06738,1,1.0
A06768,0,0.103
A06751,0,0.061
A06786,0,0.35
A06793,0,0.248
A06761,0,0.06
A06742,0,0.07
A06770,0,0.235
A06790,0,0.352
A06789,0,0.246
A06749,0,0.004
A06702,0,0.093
A06722,-999,-999
A06717,0,0.165
A06758,0,0.155
A06774,0,0.151
A06769,0,0.139
A06764,0,0.006
A06781,0,0.095
A06732,0,0.037
A06744,0,0.339
A06718,0,0.027
A06780,0,0.154
A06784,0,0.014
A06773,1,0.839
A06750,0,0.216
A06703,0,0.054
A06748,0,0.212
A06741,0,0.037
A06799,0,0.242
A06728,0,0.038
A06762,0,0.052
A06756,0,0.124
A06757,0,0.079
A06707,0,0.089
A06719,0,0.335
A06723,1,1.0
A06704,0,0.18
A06759,0,0.07
A06797,0,0.383
A06772,0,0.262
A06710,0,0.119
A06775,1,0.597
A06725,0,0.241
A06783,0,0.072
A06766,0,0.039
A06792,0,0.055
A06724,1,1.0
A06794,0,0.091
A06735,0,0.007
A06771,1,0.918
