PepID,AMPLabel,Prob
D02288,0,0.105
D02289,0,0.429
D02290,0,0.112
D02291,0,0.215
D02292,0,0.154
D02293,0,0.17
D02294,0,0.031
D02295,0,0.18
D02296,0,0.156
D02297,0,0.186
D02298,0,0.162
D02299,0,0.459
D02300,0,0.118
D02301,0,0.317
D02302,0,0.367
D02303,1,0.586
D02304,0,0.117
D02305,0,0.271
D02306,0,0.073
D02307,0,0.245
D02308,0,0.021
D02309,0,0.065
D02310,0,0.002
D02311,1,0.588
D02312,0,0.201
D02313,0,0.126
D02314,1,0.679
D02315,0,0.086
D02316,0,0.037
D02317,1,1.0
D02318,0,0.166
D02319,0,0.004
D02320,0,0.109
D02321,0,0.236
D02322,0,0.013
D02323,0,0.061
D02324,1,0.531
D02325,1,0.716
D02326,0,0.146
D02327,0,0.041
D02328,0,0.084
D02329,0,0.024
D02330,0,0.211
D02331,0,0.005
D02332,0,0.048
D02333,1,0.539
D02334,1,0.878
D02335,0,0.282
D02336,1,0.808
D02337,0,0.125
D02338,0,0.113
D02339,0,0.381
D02340,0,0.19
D02341,0,0.234
D02342,0,0.021
D02343,0,0.341
D02344,0,0.286
D02345,0,0.298
D02346,0,0.041
D02347,0,0.254
D02348,0,0.059
D02349,0,0.01
D02350,0,0.292
D02351,0,0.357
D02352,1,0.666
D02353,0,0.329
D02354,0,0.148
D02355,0,0.329
D02356,0,0.192
D02357,0,0.252
D02358,0,0.191
D02359,1,0.637
D02360,0,0.065
D02361,0,0.099
D02362,0,0.463
D02363,1,0.526
D02364,1,0.95
D02365,0,0.212
D02366,0,0.325
D02367,0,0.014
D02368,1,0.69
D02369,0,0.201
D02370,1,0.501
D02371,0,0.085
D02372,1,0.851
D02373,0,0.053
D02374,0,0.071
D02375,0,0.286
D02376,0,0.127
D02377,0,0.021
D02378,0,0.135
D02379,1,0.601
D02380,0,0.31
D02381,0,0.01
D02382,0,0.444
D02383,0,0.233
D02384,0,0.076
D02385,0,0.158
D02386,0,0.238
D02387,0,0.048
D02388,0,0.109
D02389,0,0.053
D02390,0,0.125
D02391,1,0.626
D02392,0,0.004
D02393,0,0.017
D02394,0,0.031
D02395,0,0.431
D02396,0,0.071
D02397,0,0.068
D02398,0,0.051
D02399,0,0.306
D02400,0,0.096
D02401,1,0.539
D02402,0,0.004
D02403,0,0.047
D02404,1,0.507
D02405,1,0.52
D02406,0,0.05
D02407,0,0.03
D02408,1,0.741
D02409,0,0.073
D02410,0,0.01
D02411,0,0.282
D02412,0,0.257
D02413,0,0.018
D02414,0,0.054
D02415,0,0.16
D02416,1,0.504
D02417,0,0.205
D02418,0,0.321
D02419,0,0.057
D02420,0,0.011
D02421,1,0.585
D02422,0,0.291
D02423,0,0.439
D02424,0,0.024
D02425,0,0.096
D02426,0,0.13
D02427,0,0.005
D02428,0,0.128
D02429,0,0.052
D02430,1,1.0
D02431,1,1.0
D02432,0,0.106
D02433,0,0.071
D02434,1,1.0
D02435,0,0.179
D02436,1,0.826
D02437,0,0.306
D02438,0,0.036
D02439,0,0.184
D02440,1,1.0
D02441,1,1.0
D02442,0,0.104
D02443,1,1.0
D02444,0,0.023
D02445,0,0.212
D02446,1,1.0
D02447,1,1.0
D02448,0,0.227
D02449,0,0.062
D02450,1,1.0
D02451,0,0.039
D02452,1,1.0
D02453,1,1.0
D02454,1,1.0
D02455,1,1.0
D02456,1,1.0
D02457,1,0.671
D02458,1,1.0
D02459,1,1.0
D02460,0,0.013
D02461,1,1.0
D02462,1,1.0
D02463,1,0.741
D02464,0,0.027
D02465,0,0.305
D02466,1,0.751
D02467,0,0.04
D02468,1,0.925
D02469,0,0.231
D02470,0,0.421
D02471,0,0.012
D02472,0,0.066
D02473,0,0.087
D02474,0,0.026
D02475,0,0.042
D02476,1,0.738
D02477,1,0.842
D02478,0,0.088
D02479,1,0.558
D02480,0,0.408
D02481,1,1.0
D02482,0,0.087
D02483,1,0.744
D02484,1,1.0
D02485,1,0.653
D02486,0,0.14
D02487,0,0.093
D02488,1,1.0
D02489,0,0.458
D02490,1,1.0
D02491,1,1.0
D02492,0,0.061
D02493,1,0.515
D02494,1,1.0
D02495,1,1.0
D02496,0,0.017
D02497,0,0.011
D02498,1,1.0
D02499,1,1.0
D02500,1,1.0
D02501,0,0.005
D02502,1,1.0
D02503,0,0.051
D02504,1,0.915
D02505,1,1.0
D02506,0,0.185
D02507,0,0.031
D02508,0,0.176
D02509,1,0.584
D02510,0,0.033
D02511,0,0.378
D02512,1,1.0
D02513,1,1.0
D02514,0,0.114
D02515,0,0.055
D02516,0,0.071
D02517,0,0.336
D02518,1,0.883
D02519,1,1.0
D02520,0,0.293
D02521,1,1.0
D02522,1,0.6
D02523,0,0.473
D02524,0,0.076
D02525,1,0.81
D02526,0,0.005
D02527,0,0.082
D02528,0,0.384
D02529,1,0.8
D02530,0,0.418
D02531,0,0.227
D02532,0,0.455
D02533,1,0.849
D02534,0,0.003
D02535,1,1.0
D02536,0,0.015
D02537,0,0.155
D02538,0,0.303
D02539,0,0.101
D02540,0,0.259
D02541,0,0.145
D02542,1,1.0
D02543,0,0.247
D02544,1,0.501
D02545,0,0.005
D02546,1,1.0
D02547,-999,-999
D02548,0,0.103
D02549,1,1.0
D02550,1,1.0
D02551,0,0.034
D02552,0,0.223
D02553,0,0.02
D02554,0,0.34
D02555,0,0.408
D02556,0,0.008
D02557,1,0.604
D02558,0,0.03
D02559,1,0.707
D02560,0,0.029
D02561,0,0.172
D02562,0,0.338
D02563,0,0.064
D02564,0,0.111
D02565,0,0.064
D02566,1,0.998
D02567,0,0.258
D02568,1,0.566
D02569,0,0.066
D02570,0,0.015
D02571,0,0.298
D02572,0,0.069
D02573,1,1.0
D02574,1,1.0
D02575,1,0.999
D02576,0,0.103
D02577,1,0.605
D02578,0,0.134
D02579,0,0.391
D02580,0,0.03
D02581,0,0.024
D02582,0,0.03
D02583,0,0.216
D02584,0,0.123
D02585,0,0.106
D02586,1,0.644
D02587,0,0.195
D02588,0,0.116
D02589,0,0.152
D02590,1,0.903
D02591,1,0.667
D02592,1,1.0
D02593,0,0.422
D02594,0,0.104
D02595,0,0.021
D02596,0,0.052
D02597,0,0.301
D02598,0,0.357
D02599,0,0.127
D02600,0,0.233
