PepID,AMPLabel,Prob
D04189,0,0.0
D04218,0,0.0
D04334,1,1.0
D04739,0,0.0
D04145,0,0.0
D04675,0,0.0
D03544,-999,-999
D00423,-999,-999
A08006,-999,-999
D00462,-999,-999
D03715,-999,-999
D02737,-999,-999
D04638,-999,-999
D03828,-999,-999
A06408,-999,-999
D04789,-999,-999
D00523,-999,-999
D04831,-999,-999
D03049,-999,-999
A05007,-999,-999
D03584,-999,-999
D03163,-999,-999
D04618,-999,-999
A10146,-999,-999
D04843,-999,-999
A09773,-999,-999
D02641,-999,-999
D02981,-999,-999
A06720,-999,-999
A11547,-999,-999
D04143,-999,-999
D04100,-999,-999
D04378,-999,-999
A10164,-999,-999
A11470,-999,-999
D03003,-999,-999
A06279,-999,-999
D03716,-999,-999
D04650,-999,-999
D00541,-999,-999
A11872,-999,-999
A11410,-999,-999
D04191,-999,-999
A11878,-999,-999
A01269,-999,-999
D00518,-999,-999
D02592,-999,-999
D02632,-999,-999
D02495,-999,-999
D04723,-999,-999
D04359,0,0.0
D04627,0,0.0
D04350,0,0.0
D04123,0,0.0
D04790,0,0.0
D04345,1,1.0
D04819,0,0.0
D04186,0,0.0
D04673,0,0.0
D03553,-999,-999
D04809,-999,-999
D03165,-999,-999
D04642,-999,-999
A11411,-999,-999
D04791,-999,-999
A04580,-999,-999
D03037,-999,-999
D03547,-999,-999
D04122,-999,-999
A09721,-999,-999
D00508,-999,-999
A11431,-999,-999
A11375,-999,-999
D03752,-999,-999
D03588,-999,-999
A06723,-999,-999
A06722,-999,-999
D03205,-999,-999
A06347,-999,-999
D03028,-999,-999
D03615,-999,-999
D04687,-999,-999
D04266,-999,-999
D00424,-999,-999
D04840,-999,-999
D00291,-999,-999
D04763,-999,-999
A01337,-999,-999
D03541,-999,-999
D03534,-999,-999
D02499,-999,-999
D02190,-999,-999
D03203,-999,-999
D02187,-999,-999
A09786,-999,-999
A07983,-999,-999
D02616,-999,-999
D04644,-999,-999
D03168,-999,-999
D04244,-999,-999
D04240,0,0.0
D04105,0,0.0
D04079,0,0.0
D04184,0,0.0
D04362,0,0.0
D04355,0,0.0
D04624,0,0.0
D04340,0,0.0
D04346,0,0.0
D02454,-999,-999
D04071,-999,-999
A11499,-999,-999
D00507,-999,-999
D02481,-999,-999
D02490,-999,-999
D02574,-999,-999
D02434,-999,-999
A08437,-999,-999
A01346,-999,-999
D02462,-999,-999
D02636,-999,-999
D03750,-999,-999
A07986,-999,-999
A01382,-999,-999
D04478,-999,-999
D04084,-999,-999
D03578,-999,-999
D03958,-999,-999
A08044,-999,-999
D04829,-999,-999
D04808,-999,-999
D04162,-999,-999
D03537,-999,-999
A10147,-999,-999
D04643,-999,-999
D04094,-999,-999
A06739,-999,-999
D03575,-999,-999
D00322,-999,-999
A01247,-999,-999
D04132,-999,-999
D00540,-999,-999
D04838,-999,-999
D04669,-999,-999
D02502,-999,-999
D02645,-999,-999
D03831,-999,-999
A04558,-999,-999
D04834,-999,-999
D03686,-999,-999
D04827,0,0.0
D04339,0,0.0
D04645,0,0.0
D04165,0,0.0
D04828,0,0.0
D04727,0,0.0
D04090,0,0.0
D00510,-999,-999
D00383,-999,-999
D03192,-999,-999
D00329,-999,-999
D04160,-999,-999
D04286,-999,-999
D04072,-999,-999
A01267,-999,-999
A06407,-999,-999
D04634,-999,-999
D00396,-999,-999
D03712,-999,-999
D00386,-999,-999
D03150,-999,-999
D04299,-999,-999
D04811,-999,-999
A06738,-999,-999
D00511,-999,-999
A04559,-999,-999
D03644,-999,-999
A11409,-999,-999
D00349,-999,-999
D00405,-999,-999
D04190,-999,-999
D00342,-999,-999
A01695,-999,-999
A09723,-999,-999
A01266,-999,-999
A10148,-999,-999
D03549,-999,-999
A04695,-999,-999
A04561,-999,-999
A11412,-999,-999
D04762,-999,-999
D00437,-999,-999
D04183,-999,-999
D00376,-999,-999
D02999,-999,-999
D02491,-999,-999
A06295,-999,-999
D02452,-999,-999
A01209,-999,-999
A01383,-999,-999
D04092,0,0.0
D04161,1,1.0
D04182,0,0.0
D04144,1,1.0
D04689,0,0.0
D04256,0,0.0
D04295,0,0.0
D04351,0,0.0
A04647,-999,-999
A06733,-999,-999
D02542,-999,-999
D02627,-999,-999
D04813,-999,-999
D04096,-999,-999
D04641,-999,-999
A10159,-999,-999
D02657,-999,-999
D04293,-999,-999
A05020,-999,-999
D00546,-999,-999
D00531,-999,-999
D04780,-999,-999
D02441,-999,-999
A09787,-999,-999
D04154,-999,-999
D04635,-999,-999
D03524,-999,-999
D02734,-999,-999
A06274,-999,-999
A08433,-999,-999
D02456,-999,-999
A08076,-999,-999
D00387,-999,-999
D03719,-999,-999
A01245,-999,-999
D02498,-999,-999
D04294,-999,-999
D02977,-999,-999
D03737,-999,-999
D00504,-999,-999
D00545,-999,-999
A08085,-999,-999
A08005,-999,-999
D00401,-999,-999
D03593,-999,-999
A07949,-999,-999
D04818,-999,-999
D03585,-999,-999
D03174,-999,-999
D03697,-999,-999
D04338,0,0.0
D04328,0,0.0
D00350,-999,-999
D03629,-999,-999
A09698,-999,-999
D00331,-999,-999
A06292,-999,-999
D02630,-999,-999
A11418,-999,-999
D00538,-999,-999
D02459,-999,-999
D02656,-999,-999
A11863,-999,-999
D00399,-999,-999
D03555,-999,-999
D00344,-999,-999
D03283,-999,-999
D02446,-999,-999
D03167,-999,-999
D00491,-999,-999
D00388,-999,-999
D02575,-999,-999
D04794,-999,-999
D03005,-999,-999
D00319,-999,-999
D04102,-999,-999
D00480,-999,-999
D03202,-999,-999
A04634,-999,-999
D02519,-999,-999
A07948,-999,-999
D00372,-999,-999
A09835,-999,-999
D04263,-999,-999
D04690,-999,-999
D04824,-999,-999
D04628,-999,-999
D04672,-999,-999
D02430,-999,-999
D03009,-999,-999
A04566,-999,-999
A01334,-999,-999
A04557,-999,-999
D03613,-999,-999
A05010,-999,-999
D04153,-999,-999
A08120,-999,-999
D04640,-999,-999
D03031,-999,-999
A11502,-999,-999
D04805,0,0.0
D04795,0,0.0
D04330,0,0.0
D04502,0,0.0
D04348,0,0.0
D04630,0,0.0
D04332,0,0.0
D04214,-999,-999
D02736,-999,-999
A08012,-999,-999
D03411,-999,-999
D00409,-999,-999
D04693,-999,-999
D04682,-999,-999
A08073,-999,-999
A06270,-999,-999
D03177,-999,-999
D04649,-999,-999
D03042,-999,-999
D04846,-999,-999
D03230,-999,-999
D03038,-999,-999
D04087,-999,-999
A05011,-999,-999
D03121,-999,-999
D04099,-999,-999
D02606,-999,-999
A01696,-999,-999
A04650,-999,-999
D02189,-999,-999
D00443,-999,-999
A11877,-999,-999
D03139,-999,-999
D02488,-999,-999
A01273,-999,-999
D00513,-999,-999
A04618,-999,-999
D04812,-999,-999
D04216,-999,-999
D03172,-999,-999
D03082,-999,-999
D03713,-999,-999
D00382,-999,-999
D03281,-999,-999
D04260,-999,-999
A11548,-999,-999
A08446,-999,-999
D04233,-999,-999
D02458,-999,-999
A06361,-999,-999
D04817,0,0.0
D04376,0,0.0
D04174,0,0.0
D04333,1,1.0
D04142,0,0.0
D04347,0,0.0
D04252,0,0.0
D04599,0,0.0
D04208,0,0.0
D04171,0,0.0
D03197,-999,-999
D02650,-999,-999
D03718,-999,-999
D04804,-999,-999
D04707,-999,-999
A08436,-999,-999
D02461,-999,-999
D04135,-999,-999
A07987,-999,-999
D00534,-999,-999
D03188,-999,-999
D03747,-999,-999
D00461,-999,-999
D04686,-999,-999
D02987,-999,-999
D02484,-999,-999
D03060,-999,-999
D02513,-999,-999
D02653,-999,-999
A09393,-999,-999
D04807,-999,-999
D02978,-999,-999
A01713,-999,-999
D03729,-999,-999
D03668,-999,-999
D04646,-999,-999
D04297,-999,-999
A04582,-999,-999
A08122,-999,-999
A11486,-999,-999
D02655,-999,-999
D00400,-999,-999
D02620,-999,-999
D03700,-999,-999
A05026,-999,-999
D04738,-999,-999
D00335,-999,-999
D03744,-999,-999
D02994,-999,-999
D00463,-999,-999
D04343,0,0.0
D04721,1,1.0
D04651,0,0.0
D04283,0,0.0
D04119,0,0.0
D04342,0,0.0
D04080,0,0.0
D03740,-999,-999
A05025,-999,-999
D04823,-999,-999
D00515,-999,-999
D00278,-999,-999
D00054,-999,-999
A01712,-999,-999
D04136,-999,-999
A06272,-999,-999
A04523,-999,-999
A09834,-999,-999
D03669,-999,-999
D04622,-999,-999
D02455,-999,-999
D00318,-999,-999
A06372,-999,-999
D04647,-999,-999
A06331,-999,-999
D02550,-999,-999
D03002,-999,-999
D04287,-999,-999
D03710,-999,-999
D02988,-999,-999
D04125,-999,-999
A01244,-999,-999
A06235,-999,-999
D00489,-999,-999
A04584,-999,-999
D03594,-999,-999
D00524,-999,-999
A07984,-999,-999
D04176,-999,-999
D03582,-999,-999
D04845,-999,-999
D03746,-999,-999
D03166,-999,-999
D03041,-999,-999
A11546,-999,-999
D04709,-999,-999
D02603,-999,-999
A09696,-999,-999
D00390,-999,-999
D03525,-999,-999
D04241,0,0.0
D04527,0,0.0
D04839,0,0.0
D04685,0,0.0
D04722,0,0.0
D04078,0,0.0
D04380,0,0.0
D04479,0,0.0
D04124,0,0.0
D04731,0,0.0
D04390,1,1.0
D04301,0,0.0
D04715,0,0.0
D03097,-999,-999
D00057,-999,-999
D03695,-999,-999
A09700,-999,-999
A08060,-999,-999
D02618,-999,-999
D04701,-999,-999
D00369,-999,-999
D02450,-999,-999
D03199,-999,-999
D00520,-999,-999
D03190,-999,-999
D04619,-999,-999
D03170,-999,-999
D02635,-999,-999
D03643,-999,-999
D03006,-999,-999
D02512,-999,-999
D02505,-999,-999
A06363,-999,-999
D04261,-999,-999
D03717,-999,-999
D04273,-999,-999
A06721,-999,-999
A11859,-999,-999
D02997,-999,-999
D03046,-999,-999
D00533,-999,-999
A09719,-999,-999
D04103,-999,-999
D00340,-999,-999
D02625,-999,-999
D03169,-999,-999
D00343,-999,-999
D04284,-999,-999
A11438,-999,-999
D04268,-999,-999
D04344,0,0.0
D04786,0,0.0
D04788,0,0.0
D04597,0,0.0
D04086,0,0.0
D04620,1,1.0
D04329,0,0.0
D04331,0,0.0
A04560,-999,-999
D04820,-999,-999
A09725,-999,-999
A01248,-999,-999
D00294,-999,-999
D04298,-999,-999
D03047,-999,-999
D00544,-999,-999
D03183,-999,-999
D02643,-999,-999
D04844,-999,-999
D04505,-999,-999
D02624,-999,-999
A11407,-999,-999
D03552,-999,-999
A09789,-999,-999
D03171,-999,-999
D02573,-999,-999
A09757,-999,-999
D03599,-999,-999
A08452,-999,-999
A10149,-999,-999
D04833,-999,-999
D03667,-999,-999
D00056,-999,-999
