PepID,AMPLabel,Prob
A07601,0,0.0
A07602,0,0.0
A07603,0,0.0
A07604,1,1.0
A07605,1,1.0
A07606,0,0.0
A07607,0,0.0
A07608,0,0.0
A07609,0,0.0
A07610,0,0.0
A07611,1,1.0
A07612,0,0.0
A07613,0,0.0
A07614,0,0.0
A07615,0,0.0
A07616,0,0.0
A07617,0,0.0
A07618,0,0.0
A07619,0,0.0
A07620,0,0.0
A07621,0,0.0
A07622,0,0.0
A07623,0,0.0
A07624,0,0.0
A07625,1,1.0
A07626,0,0.0
A07627,0,0.0
A07628,0,0.0
A07629,0,0.0
A07630,0,0.0
A07631,0,0.0
A07632,0,0.0
A07633,0,0.0
A07634,0,0.0
A07635,0,0.0
A07636,0,0.0
A07637,0,0.0
A07638,0,0.0
A07639,0,0.0
A07640,0,0.0
A07641,0,0.0
A07642,0,0.0
A07643,0,0.0
A07644,0,0.0
A07645,0,0.0
A07646,0,0.0
A07647,0,0.0
A07648,0,0.0
A07649,0,0.0
A07650,0,0.0
A07651,0,0.0
A07652,0,0.0
A07653,0,0.0
A07654,0,0.0
A07655,0,0.0
A07656,0,0.0
A07657,0,0.0
A07658,0,0.0
A07659,0,0.0
A07660,0,0.0
A07661,0,0.0
A07662,0,0.0
A07663,0,0.0
A07664,1,1.0
A07665,0,0.0
A07666,0,0.0
A07667,0,0.0
A07668,0,0.0
A07669,1,1.0
A07670,0,0.0
A07671,0,0.0
A07672,0,0.0
A07673,0,0.0
A07674,0,0.0
A07675,0,0.0
A07676,0,0.0
A07677,0,0.0
A07678,0,0.0
A07679,0,0.0
A07680,0,0.0
A07681,0,0.0
A07682,0,0.0
A07683,1,1.0
A07684,0,0.0
A07685,0,0.0
A07686,0,0.0
A07687,1,1.0
A07688,0,0.0
A07689,0,0.0
A07690,0,0.0
A07691,0,0.0
A07692,1,1.0
A07693,1,1.0
A07694,0,0.0
A07695,0,0.0
A07696,0,0.0
A07697,0,0.0
A07698,0,0.0
A07699,0,0.0
A07700,0,0.0
A07701,0,0.0
A07702,0,0.0
A07703,0,0.0
A07704,0,0.0
A07705,0,0.0
A07706,1,1.0
A07707,0,0.0
A07708,0,0.0
A07709,0,0.0
A07710,0,0.0
A07711,0,0.0
A07712,0,0.0
A07713,0,0.0
A07714,0,0.0
A07715,0,0.0
A07716,0,0.0
A07717,0,0.0
A07718,1,1.0
A07719,0,0.0
A07720,0,0.0
A07721,0,0.0
A07722,0,0.0
A07723,0,0.0
A07724,0,0.0
A07725,0,0.0
A07726,0,0.0
A07727,0,0.0
A07728,0,0.0
A07729,0,0.0
A07730,0,0.0
A07731,0,0.0
A07732,0,0.0
A07733,0,0.0
A07734,0,0.0
A07735,0,0.0
A07736,1,1.0
A07737,0,0.0
A07738,0,0.0
A07739,0,0.0
A07740,0,0.0
A07741,0,0.0
A07742,0,0.0
A07743,0,0.0
A07744,0,0.0
A07745,0,0.0
A07746,0,0.0
A07747,0,0.0
A07748,0,0.0
A07749,0,0.0
A07750,0,0.0
A07751,1,1.0
A07752,0,0.0
A07753,0,0.0
A07754,0,0.0
A07755,0,0.0
A07756,0,0.0
A07757,0,0.0
A07758,0,0.0
A07759,0,0.0
A07760,0,0.0
A07761,0,0.0
A07762,0,0.0
A07763,0,0.0
A07764,0,0.0
A07765,0,0.0
A07766,0,0.0
A07767,1,1.0
A07768,0,0.0
A07769,0,0.0
A07770,0,0.0
A07771,0,0.0
A07772,0,0.0
A07773,0,0.0
A07774,0,0.0
A07775,0,0.0
A07776,0,0.0
A07777,0,0.0
A07778,0,0.0
A07779,0,0.0
A07780,0,0.0
A07781,0,0.0
A07782,0,0.0
A07783,0,0.0
A07784,0,0.0
A07785,0,0.0
A07786,0,0.0
A07787,0,0.0
A07788,0,0.0
A07789,0,0.0
A07790,1,1.0
A07791,0,0.0
A07792,1,1.0
A07793,0,0.0
A07794,0,0.0
A07795,0,0.0
A07796,0,0.0
A07797,0,0.0
A07798,0,0.0
A07799,0,0.0
A07800,0,0.0
A07801,0,0.0
A07802,0,0.0
A07803,0,0.0
A07804,0,0.0
A07805,0,0.0
A07806,0,0.0
A07807,0,0.0
A07808,0,0.0
A07809,0,0.0
A07810,0,0.0
A07811,0,0.0
A07812,0,0.0
A07813,0,0.0
A07814,0,0.0
A07815,0,0.0
A07816,0,0.0
A07817,0,0.0
A07818,0,0.0
A07819,0,0.0
A07820,0,0.0
A07821,0,0.0
A07822,0,0.0
A07823,0,0.0
A07824,0,0.0
A07825,0,0.0
A07826,0,0.0
A07827,0,0.0
A07828,0,0.0
A07829,0,0.0
A07830,0,0.0
A07831,0,0.0
A07832,0,0.0
A07833,0,0.0
A07834,0,0.0
A07835,0,0.0
A07836,0,0.0
A07837,1,1.0
A07838,0,0.0
A07839,0,0.0
A07840,0,0.0
A07841,0,0.0
A07842,1,1.0
A07843,0,0.0
A07844,0,0.0
A07845,0,0.0
A07846,0,0.0
A07847,1,1.0
A07848,0,0.0
A07849,0,0.0
A07850,0,0.0
A07851,0,0.0
A07852,0,0.0
A07853,0,0.0
A07854,0,0.0
A07855,1,1.0
A07856,1,1.0
A07857,0,0.0
A07858,0,0.0
A07859,0,0.0
A07860,1,1.0
