PepID,AMPLabel,Prob
A00001,0,0.0
A00002,0,0.0
A00003,1,0.96
A00004,0,0.0
A00005,0,0.0
A00006,0,0.0
A00007,0,0.0
A00008,1,0.88
A00009,0,0.0
A00010,0,0.0
A00011,0,0.0
A00012,0,0.0
A00013,0,0.0
A00014,0,0.0
A00015,0,0.0
A00016,0,0.0
A00017,1,0.99
A00018,0,0.0
A00019,0,0.0
A00020,1,1.0
A00021,1,1.0
A00022,1,0.97
A00023,1,0.89
A00024,1,0.86
A00025,1,0.94
A00026,1,0.97
A00027,1,0.94
A00028,1,0.99
A00029,0,0.0
A00030,0,0.0
A00031,0,0.0
A00032,0,0.0
A00033,0,0.0
A00034,0,0.0
A00035,0,0.0
A00036,0,0.0
A00037,0,0.0
A00038,0,0.0
A00039,0,0.0
A00040,0,0.0
A00041,0,0.0
A00042,0,0.0
A00043,0,0.0
A00044,0,0.0
A00045,0,0.0
A00046,0,0.0
A00047,1,1.0
A00048,0,0.0
A00049,0,0.0
A00050,0,0.0
A00051,0,0.0
A00052,0,0.0
A00053,0,0.0
A00054,1,0.97
A00055,0,0.0
A00056,0,0.0
A00057,0,0.0
A00058,0,0.0
A00059,0,0.0
A00060,0,0.0
A00061,0,0.0
A00062,0,0.0
A00063,0,0.0
A00064,0,0.0
A00065,0,0.0
A00066,0,0.0
A00067,0,0.0
A00068,0,0.0
A00069,0,0.0
A00073,0,0.0
A00074,0,0.0
A00075,0,0.0
A00076,0,0.0
A00077,0,0.0
A00078,1,0.92
A00079,1,0.98
A00080,0,0.0
A00081,0,0.0
A00082,0,0.0
A00083,0,0.0
A00084,0,0.0
A00085,0,0.0
A00086,0,0.0
A00087,1,1.0
A00088,1,0.98
A00089,0,0.0
A00090,1,0.97
A00091,1,0.98
A00092,1,0.94
A00093,1,0.94
A00094,0,0.0
A00095,1,0.95
A00096,0,0.0
A00097,0,0.0
A00098,0,0.0
A00099,1,0.98
A00100,0,0.0
A00070,-999,-999
A00071,-999,-999
A00072,-999,-999
A00101,0,0.0
A00102,0,0.0
A00103,0,0.0
A00104,1,0.83
A00105,1,0.86
A00106,0,0.0
A00107,1,0.92
A00108,1,1.0
A00109,0,0.0
A00110,0,0.0
A00112,0,0.0
A00113,1,0.83
A00114,0,0.0
A00115,0,0.0
A00116,1,0.84
A00117,0,0.0
A00118,0,0.0
A00119,0,0.0
A00120,0,0.0
A00121,0,0.0
A00122,1,0.86
A00123,1,0.86
A00124,0,0.0
A00125,0,0.0
A00126,0,0.0
A00127,0,0.0
A00128,0,0.0
A00130,1,0.97
A00131,1,0.99
A00132,1,0.94
A00133,1,0.9
A00134,0,0.0
A00135,1,0.96
A00136,0,0.0
A00137,1,0.97
A00138,1,0.89
A00139,1,0.86
A00140,0,0.0
A00141,1,1.0
A00142,1,0.98
A00143,0,0.0
A00144,1,0.76
A00145,1,0.98
A00146,1,0.92
A00147,1,0.89
A00148,0,0.0
A00149,0,0.0
A00150,0,0.0
A00111,-999,-999
A00129,-999,-999
A00151,0,0.0
A00152,0,0.0
A00153,1,0.99
A00154,1,0.86
A00155,0,0.0
A00156,0,0.0
A00157,0,0.0
A00158,0,0.0
A00159,1,1.0
A00160,1,1.0
A00161,0,0.0
A00162,1,0.98
A00163,1,1.0
A00164,1,1.0
A00165,1,0.88
A00166,1,1.0
A00167,1,1.0
A00168,1,0.95
A00169,0,0.0
A00170,1,0.79
A00171,1,0.9299999999999999
A00172,1,0.96
A00173,0,0.0
A00174,0,0.0
A00175,0,0.0
A00176,0,0.0
A00177,0,0.0
A00178,0,0.0
A00179,0,0.0
A00180,0,0.0
A00181,0,0.0
A00182,0,0.0
A00183,0,0.0
A00184,0,0.0
A00185,1,1.0
A00186,1,0.9299999999999999
A00187,1,0.94
A00189,1,0.9299999999999999
A00190,1,0.89
A00191,0,0.0
A00192,0,0.0
A00194,1,1.0
A00195,1,1.0
A00196,1,0.83
A00197,1,0.86
A00198,1,0.87
A00199,1,0.88
A00200,1,0.95
A00188,-999,-999
A00193,-999,-999
A00201,1,1.0
A00202,1,0.96
A00203,0,0.0
A00205,0,0.0
A00206,1,1.0
A00207,1,0.98
A00208,0,0.0
A00209,0,0.0
A00210,1,0.94
A00211,1,0.92
A00212,1,1.0
A00213,1,0.88
A00214,0,0.0
A00215,0,0.0
A00216,0,0.0
A00217,0,0.0
A00218,1,0.9299999999999999
A00219,1,1.0
A00220,0,0.0
A00221,0,0.0
A00222,0,0.0
A00223,0,0.0
A00224,0,0.0
A00225,1,0.97
A00226,1,0.97
A00227,1,1.0
A00228,1,1.0
A00229,1,1.0
A00230,1,0.96
A00231,0,0.0
A00232,0,0.0
A00233,1,0.98
A00234,1,0.97
A00236,0,0.0
A00237,1,0.98
A00238,0,0.0
A00239,0,0.0
A00240,1,1.0
A00241,0,0.0
A00242,0,0.0
A00243,1,0.95
A00244,1,0.96
A00245,0,0.0
A00246,0,0.0
A00247,0,0.0
A00248,1,1.0
A00249,0,0.0
A00250,0,0.0
A00204,-999,-999
A00235,-999,-999
A00251,0,0.0
A00252,0,0.0
A00253,0,0.0
A00254,0,0.0
A00255,0,0.0
A00256,0,0.0
A00257,0,0.0
A00258,1,0.99
A00259,1,0.97
A00260,1,0.9
A00261,1,1.0
A00262,1,1.0
A00263,0,0.0
A00264,1,0.86
A00265,0,0.0
A00266,1,0.89
A00267,1,0.8200000000000001
A00268,0,0.0
A00269,0,0.0
A00270,1,0.88
A00271,0,0.0
A00272,1,0.96
A00273,1,0.97
A00274,0,0.0
A00275,0,0.0
A00276,1,0.84
A00277,0,0.0
A00278,0,0.0
A00279,1,0.86
A00280,1,1.0
A00281,0,0.0
A00282,0,0.0
A00283,1,0.99
A00284,1,1.0
A00285,1,1.0
A00286,1,0.96
A00287,0,0.0
A00288,1,1.0
A00289,0,0.0
A00290,0,0.0
A00291,0,0.0
A00292,0,0.0
A00293,0,0.0
A00294,1,0.87
A00295,1,0.86
A00296,1,0.87
A00297,0,0.0
A00298,0,0.0
A00299,1,0.91
A00300,1,0.99
A00301,1,0.83
A00302,0,0.0
A00303,1,0.8
A00304,0,0.0
A00305,0,0.0
A00306,0,0.0
A00307,1,0.97
A00308,0,0.0
A00310,0,0.0
A00311,0,0.0
A00312,0,0.0
A00313,1,0.94
A00314,1,0.99
A00315,1,0.94
A00316,1,1.0
A00317,1,0.97
A00318,1,0.99
A00319,0,0.0
A00320,0,0.0
A00321,0,0.0
A00322,0,0.0
A00323,1,1.0
A00324,0,0.0
A00325,0,0.0
A00326,1,1.0
A00327,1,1.0
A00328,1,0.97
A00329,1,1.0
A00330,1,1.0
A00331,1,1.0
A00332,1,1.0
A00333,1,1.0
A00334,1,1.0
A00335,1,0.9
A00336,0,0.0
A00337,0,0.0
A00338,0,0.0
A00339,0,0.0
A00340,1,0.99
A00341,1,0.99
A00342,1,0.89
A00343,1,0.89
A00344,1,0.9299999999999999
A00345,0,0.0
A00346,1,0.99
A00347,0,0.0
A00348,0,0.0
A00349,0,0.0
A00350,0,0.0
A00309,-999,-999
A00351,0,0.0
A00352,0,0.0
A00353,0,0.0
A00354,1,0.88
A00355,0,0.0
A00356,0,0.0
A00357,1,1.0
A00358,1,0.91
A00359,0,0.0
A00360,0,0.0
A00361,0,0.0
A00362,0,0.0
A00363,0,0.0
A00364,0,0.0
A00365,0,0.0
A00366,0,0.0
A00367,1,0.95
A00369,0,0.0
A00370,1,0.98
A00371,0,0.0
A00372,0,0.0
A00373,1,0.9299999999999999
A00374,0,0.0
A00375,0,0.0
A00376,0,0.0
A00377,0,0.0
A00378,0,0.0
A00379,0,0.0
A00380,1,0.94
A00381,1,0.9
A00382,0,0.0
A00383,0,0.0
A00384,1,0.9299999999999999
A00385,0,0.0
A00386,0,0.0
A00387,0,0.0
A00388,0,0.0
A00389,0,0.0
A00390,0,0.0
A00391,0,0.0
A00392,1,0.99
