PepID,AMPLabel,Prob
A11601,0,0.283
A11602,0,0.122
A11603,0,0.266
A11604,0,0.442
A11605,0,0.095
A11606,1,0.831
A11607,0,0.021
A11608,0,0.374
A11609,0,0.002
A11610,0,0.016
A11611,0,0.034
A11612,0,0.04
A11613,0,0.053
A11614,0,0.078
A11615,0,0.004
A11616,0,0.007
A11617,0,0.121
A11618,0,0.131
A11619,0,0.024
A11620,0,0.011
A11621,0,0.004
A11622,0,0.196
A11623,0,0.018
A11624,0,0.121
A11625,1,0.614
A11626,0,0.007
A11627,0,0.064
A11628,0,0.169
A11629,0,0.018
A11630,0,0.02
A11631,0,0.027
A11632,0,0.13
A11633,0,0.066
A11634,0,0.408
A11635,0,0.006
A11636,0,0.074
A11637,0,0.401
A11638,0,0.014
A11639,0,0.001
A11640,0,0.061
A11641,0,0.398
A11642,0,0.005
A11643,1,0.899
A11644,0,0.005
A11645,0,0.002
A11646,0,0.006
A11647,0,0.068
A11648,0,0.083
A11649,0,0.008
A11650,0,0.006
A11651,0,0.002
A11652,0,0.009
A11653,0,0.02
A11654,0,0.046
A11655,0,0.051
A11656,0,0.003
A11657,0,0.002
A11658,0,0.011
A11659,0,0.002
A11660,0,0.029
A11661,0,0.053
A11662,0,0.408
A11663,0,0.387
A11664,0,0.019
A11665,0,0.012
A11666,0,0.036
A11667,0,0.254
A11668,0,0.006
A11669,0,0.014
A11670,0,0.372
A11671,0,0.025
A11672,0,0.114
A11673,0,0.059
A11674,0,0.006
A11675,1,0.772
A11676,0,0.133
A11677,0,0.001
A11678,0,0.128
A11679,0,0.37
A11680,0,0.004
A11681,0,0.244
A11682,0,0.097
A11683,1,0.707
A11684,0,0.016
A11685,0,0.057
A11686,0,0.422
A11687,0,0.008
A11688,0,0.055
A11689,0,0.401
A11690,0,0.106
A11691,0,0.016
A11692,0,0.072
A11693,0,0.02
A11694,0,0.023
A11695,0,0.035
A11696,0,0.05
A11697,0,0.026
A11698,0,0.012
A11699,0,0.061
A11700,0,0.003
A11701,1,0.926
A11702,0,0.015
A11703,0,0.085
A11704,0,0.121
A11705,0,0.196
A11706,0,0.19
A11707,0,0.001
A11708,0,0.056
A11709,0,0.041
A11710,0,0.059
A11711,0,0.265
A11712,0,0.337
A11713,0,0.019
A11714,0,0.032
A11715,0,0.002
A11716,1,0.996
A11717,1,0.879
A11718,0,0.466
A11719,0,0.001
A11720,0,0.013
A11721,0,0.221
A11722,0,0.031
A11723,1,0.936
A11724,1,0.566
A11725,0,0.016
A11726,0,0.008
A11727,0,0.061
A11728,0,0.07
A11729,0,0.009
A11730,0,0.056
A11731,0,0.004
A11732,0,0.065
A11733,0,0.164
A11734,1,0.867
A11735,1,0.859
A11736,0,0.01
A11737,1,0.959
A11738,0,0.011
A11739,0,0.042
A11740,0,0.005
A11741,0,0.471
A11742,1,0.599
A11743,0,0.286
A11744,0,0.062
A11745,1,0.866
A11746,0,0.006
A11747,0,0.007
A11748,0,0.053
A11749,0,0.252
A11750,0,0.046
A11751,0,0.015
A11752,0,0.03
A11753,0,0.263
A11754,0,0.219
A11755,0,0.02
A11756,0,0.001
A11757,1,0.859
A11758,1,0.845
A11759,0,0.005
A11760,0,0.011
A11761,0,0.02
A11762,0,0.008
A11763,0,0.002
A11764,0,0.189
A11765,1,0.591
A11766,0,0.009
A11767,0,0.005
A11768,0,0.072
A11769,0,0.002
A11770,0,0.0
A11771,0,0.032
A11772,0,0.008
A11773,0,0.328
A11774,0,0.002
A11775,0,0.137
A11776,0,0.001
A11777,0,0.003
A11778,0,0.201
A11779,0,0.076
A11780,0,0.057
A11781,0,0.017
A11782,0,0.037
A11783,0,0.047
A11784,0,0.151
A11785,0,0.042
A11786,0,0.042
A11787,0,0.063
A11788,0,0.129
A11789,0,0.079
A11790,0,0.372
A11791,0,0.048
A11792,0,0.011
A11793,0,0.394
A11794,0,0.001
A11795,0,0.006
A11796,0,0.159
A11797,0,0.001
A11798,0,0.022
A11799,0,0.004
A11800,0,0.027
A11801,0,0.051
A11802,0,0.043
A11803,0,0.046
A11804,0,0.123
A11805,0,0.05
A11806,0,0.001
A11807,1,0.75
A11808,0,0.207
A11809,0,0.137
A11810,0,0.166
A11811,0,0.002
A11812,0,0.004
A11813,0,0.117
A11814,0,0.069
A11815,0,0.171
A11816,0,0.009
A11817,0,0.02
A11818,0,0.02
A11819,1,0.857
A11820,0,0.041
A11821,0,0.005
A11822,0,0.024
A11823,0,0.404
A11824,0,0.177
A11825,1,0.888
A11826,0,0.011
A11827,0,0.027
A11828,0,0.054
A11829,0,0.044
A11830,0,0.005
A11831,0,0.018
A11832,0,0.0
A11833,0,0.005
A11834,0,0.0
A11835,0,0.488
A11836,0,0.222
A11837,0,0.184
A11838,0,0.158
A11839,1,0.848
A11840,0,0.007
A11841,0,0.373
A11842,0,0.004
A11843,0,0.05
A11844,0,0.258
A11845,1,0.514
A11846,1,0.793
A11847,0,0.139
A11848,1,0.966
A11849,0,0.001
A11850,1,0.948
A11851,0,0.003
A11852,0,0.005
A11853,0,0.064
A11854,1,0.813
A11855,0,0.037
A11856,0,0.009
A11857,0,0.08
A11858,1,1.0
A11859,1,1.0
A11860,1,1.0
A11861,1,1.0
A11862,1,1.0
A11863,1,1.0
A11864,0,0.04
A11865,0,0.046
A11866,0,0.011
A11867,0,0.001
A11868,0,0.016
A11869,0,0.009
A11870,0,0.44
A11871,0,0.002
A11872,1,1.0
A11873,0,0.011
A11874,0,0.077
A11875,0,0.022
A11876,0,0.002
A11877,1,1.0
A11878,1,1.0
D00001,1,1.0
D00002,1,1.0
D00003,1,0.98
D00004,1,0.999
D00005,1,0.998
D00006,1,0.999
D00007,1,0.986
D00008,0,0.439
D00009,1,0.988
D00010,1,1.0
D00011,1,0.987
D00012,1,0.604
D00013,1,1.0
D00014,1,1.0
D00015,1,0.994
D00016,0,0.327
D00017,1,0.999
D00018,1,0.999
D00019,1,0.999
D00020,0,0.349
D00021,1,0.984
D00022,1,0.999
D00023,1,0.999
D00024,1,0.985
D00025,1,1.0
D00026,1,0.639
D00027,1,0.524
D00028,1,0.999
D00029,1,0.959
D00030,1,0.572
D00031,1,0.882
D00032,1,0.829
D00033,1,0.995
D00034,1,1.0
D00035,0,0.07
D00036,1,0.891
D00037,1,1.0
D00038,1,0.629
D00039,1,0.978
D00040,1,0.976
D00041,1,0.991
D00042,1,0.93
D00043,1,0.998
D00044,1,0.862
D00045,1,0.96
D00046,1,0.995
D00047,1,0.995
D00048,1,0.609
D00049,1,0.828
D00050,0,0.462
D00051,0,0.268
D00052,1,0.996
D00053,0,0.457
D00054,1,1.0
D00055,1,0.999
D00056,1,1.0
D00057,1,1.0
D00058,1,0.993
D00059,1,0.999
D00060,1,0.992
D00061,1,0.999
D00062,1,0.993
D00063,1,0.999
D00064,1,0.999
D00065,1,0.991
D00066,1,0.99
D00067,1,0.996
D00068,1,0.999
D00069,1,0.986
D00070,1,0.986
D00071,1,0.886
D00072,1,0.97
D00073,1,0.986
D00074,1,0.999
D00075,1,0.926
