PepID,AMPLabel,Prob
D02485R1,0,0.442
D02485R3,1,0.532
D02485R,1,0.792
D02488R1,1,1.0
D02483R3,1,0.577
D02488R2,1,1.0
D02483R2,1,0.688
D02493R,0,0.048
D02491R,1,1.0
D02488R,1,1.0
D02495R,1,1.0
D02484R,1,1.0
D02486R,0,0.078
D02495R2,1,1.0
D02495R1,1,1.0
D02492R1,0,0.101
D02492R3,0,0.094
D02492R2,0,0.365
D02494R3,1,1.0
D02494R2,1,1.0
D02494R1,1,1.0
D02484R3,1,1.0
D02487R3,0,0.029
D02487R2,0,0.082
D02487R1,0,0.341
D02485R2,0,0.448
D02486R2,0,0.035
D02486R3,0,0.164
D02483R1,1,0.729
D02486R1,0,0.139
D02489R1,1,0.995
D02489R3,1,0.998
D02489R2,1,0.997
D02493R1,0,0.052
D02493R2,0,0.261
D02493R3,0,0.029
D02490R3,1,1.0
D02490R2,1,1.0
D02490R1,1,1.0
D02488R3,1,1.0
D02491R2,1,1.0
D02491R3,1,1.0
D02491R1,1,1.0
D02489R,1,0.994
D02490R,1,1.0
D02494R,1,1.0
D02492R,0,0.165
D02487R,0,0.107
D02484R1,1,1.0
D02484R2,1,1.0
