PepID,AMPLabel,Prob
A03924R1,0,0.2845
A03924R2,0,0.2165
A03924R3,0,0.2175
A03925R,0,0.2775
A03925R1,0,0.212
A03925R2,0,0.2265
A03925R3,0,0.2695
A03926R,1,0.5395
A03926R1,1,0.517
A03926R2,0,0.38
A03926R3,1,0.522
A03927R,0,0.2475
A03927R1,0,0.204
A03927R2,0,0.2395
A03927R3,0,0.2475
A03928R,0,0.23
A03928R1,0,0.29
A03928R2,0,0.2295
A03928R3,0,0.175
A03929R,0,0.4495
A03929R1,0,0.466
A03929R2,0,0.4425
A03929R3,0,0.4745
A03930R,0,0.351
A03930R1,0,0.3465
A03930R2,0,0.3325
A03930R3,0,0.394
A03931R,0,0.4095
A03931R1,0,0.367
A03931R2,0,0.2505
A03931R3,0,0.387
A03932R,0,0.2425
A03932R1,0,0.274
A03932R2,0,0.305
A03932R3,0,0.245
A03933R,0,0.0285
A03933R1,0,0.0015
A03933R2,0,0.104
A03933R3,0,0.047
A03934R,0,0.2715
A03934R1,0,0.2375
A03934R2,0,0.38
A03934R3,0,0.3705
A03935R,1,0.6835
A03935R1,1,0.5315
A03935R2,1,0.614
A03935R3,1,0.606
A03936R,0,0.1875
A03936R1,0,0.228
A03936R2,0,0.1745
A03936R3,0,0.225
A03937R,0,0.4215
A03937R1,1,0.5815
A03937R2,0,0.461
A03937R3,1,0.552
A03938R,0,0.1085
A03938R1,0,0.0625
A03938R2,0,0.024
A03938R3,0,0.072
A03939R,0,0.081
A03939R1,0,0.0895
A03939R2,0,0.125
A03939R3,0,0.0955
A03940R,0,0.0095
A03940R1,0,0.0045
A03940R2,0,0.022
A03940R3,0,0.001
A03941R,0,0.048
A03941R1,0,0.1645
A03941R2,0,0.0715
A03941R3,0,0.1055
A03942R,0,0.224
A03942R1,0,0.252
A03942R2,0,0.3425
A03942R3,0,0.3165
A03943R,0,0.0735
A03943R1,0,0.087
A03943R2,0,0.126
A03943R3,0,0.075
A03944R,0,0.075
A03944R1,0,0.108
A03944R2,0,0.0705
A03944R3,0,0.125
A03945R,1,0.622
A03945R1,0,0.232
A03945R2,1,0.641
A03945R3,1,0.6185
A03946R,0,0.4315
A03946R1,0,0.481
A03946R2,0,0.3985
A03946R3,1,0.528
A03947R,0,0.4035
A03947R1,0,0.3665
A03947R2,0,0.394
A03947R3,0,0.398
A03948R,0,0.377
A03948R1,0,0.4235
A03948R2,0,0.4115
A03948R3,0,0.42
A03949R,0,0.106
A03949R1,0,0.194
A03949R2,0,0.1485
A03949R3,0,0.115
A03950R,0,0.2255
A03950R1,0,0.173
A03950R2,0,0.262
A03950R3,0,0.1625
A03951R,0,0.013
A03951R1,0,0.016
A03951R2,0,0.0255
A03951R3,0,0.005
A03952R,0,0.0165
A03952R1,0,0.2145
A03952R2,0,0.072
A03952R3,0,0.07
A03953R,0,0.0955
A03953R1,0,0.077
A03953R2,0,0.1225
A03953R3,0,0.0925
A03954R,0,0.0175
A03954R1,0,0.0095
A03954R2,0,0.015
A03954R3,0,0.0155
A03955R,0,0.1315
A03955R1,0,0.149
A03955R2,0,0.1585
A03955R3,0,0.1135
A03956R,0,0.035
A03956R1,0,0.073
A03956R2,0,0.0745
A03956R3,0,0.069
A03957R,0,0.0085
A03957R1,0,0.002
A03957R2,0,0.013
A03957R3,0,0.0025
A03958R,0,0.376
A03958R1,0,0.3075
A03958R2,0,0.358
A03958R3,0,0.316
A03959R,0,0.033
A03959R1,0,0.01
A03959R2,0,0.026
A03959R3,0,0.029
A03960R,0,0.473
A03960R1,1,0.535
A03960R2,0,0.347
A03960R3,0,0.4645
A03961R,0,0.1045
A03961R1,0,0.073
A03961R2,0,0.1165
A03961R3,0,0.1705
A03962R,1,0.7125
A03962R1,1,0.5925
A03962R2,1,0.6515
A03962R3,1,0.633
A03963R,0,0.21
A03963R1,0,0.216
A03963R2,0,0.341
A03963R3,0,0.272
A03964R,0,0.182
A03964R1,0,0.2015
A03964R2,0,0.199
A03964R3,0,0.117
A03965R,0,0.1795
A03965R1,0,0.202
A03965R2,0,0.172
A03965R3,0,0.2305
A03966R,1,0.591
A03966R1,1,0.599
A03966R2,1,0.6895
A03966R3,1,0.553
A03967R,0,0.0745
A03967R1,0,0.085
A03967R2,0,0.101
A03967R3,0,0.08
A03968R,0,0.327
A03968R1,0,0.3145
A03968R2,0,0.2935
A03968R3,0,0.3065
A03969R,0,0.148
A03969R1,0,0.0545
A03969R2,0,0.0325
A03969R3,0,0.1685
A03970R,0,0.0765
A03970R1,0,0.1345
A03970R2,0,0.1855
A03970R3,0,0.1695
A03971R,0,0.2965
A03971R1,0,0.2805
A03971R2,0,0.3405
A03971R3,0,0.2715
A03972R,0,0.0665
A03972R1,0,0.0305
A03972R2,0,0.129
A03972R3,0,0.0815
A03973R,0,0.143
A03973R1,0,0.091
A03973R2,0,0.0915
A03973R3,0,0.085
A03974R,1,0.5295
A03974R1,1,0.863
A03974R2,1,0.844
A03974R3,1,0.8855
A03975R,0,0.0075
A03975R1,0,0.0185
A03975R2,0,0.0395
A03975R3,0,0.0315
A03976R,1,0.8595
A03976R1,1,0.89
A03976R2,1,0.8965
A03976R3,1,0.8975
A03977R,0,0.0345
A03977R1,0,0.0875
A03977R2,0,0.0285
A03977R3,0,0.045
A03978R,0,0.17
A03978R1,0,0.174
A03978R2,0,0.1295
A03978R3,0,0.129
A03979R,0,0.1835
A03979R1,0,0.1335
A03979R2,0,0.147
A03979R3,0,0.192
A03980R,0,0.397
A03980R1,0,0.3045
A03980R2,0,0.414
A03980R3,0,0.402
A03981R,0,0.1805
A03981R1,0,0.019
A03981R2,0,0.1565
A03981R3,0,0.228
A03982R,1,0.832
A03982R1,1,0.8025
A03982R2,1,0.864
A03982R3,1,0.855
A03983R,1,0.547
A03983R1,1,0.8315
A03983R2,1,0.8435
A03983R3,1,0.5945
A03984R,0,0.2475
A03984R1,0,0.273
A03984R2,0,0.254
A03984R3,0,0.25
A03985R,0,0.0375
A03985R1,0,0.0345
A03985R2,0,0.043
A03985R3,0,0.04
A03986R,0,0.089
A03986R1,0,0.0895
A03986R2,0,0.0515
A03986R3,0,0.07
A03987R,0,0.232
A03987R1,0,0.3365
A03987R2,0,0.276
A03987R3,0,0.285
A03988R,1,0.952
A03988R1,1,0.993
A03988R2,1,0.724
A03988R3,1,0.942
A03989R,0,0.283
A03989R1,0,0.298
A03989R2,0,0.314
A03989R3,0,0.291
A03990R,0,0.136
A03990R1,0,0.0645
A03990R2,0,0.116
A03990R3,0,0.0585
A03991R,0,0.104
A03991R1,0,0.252
A03991R2,0,0.2635
A03991R3,0,0.215
A03992R,0,0.065
A03992R1,0,0.0375
A03992R2,0,0.028
A03992R3,0,0.083
A03993R,0,0.2445
A03993R1,0,0.4955
A03993R2,1,0.541
A03993R3,1,0.514
A03994R,0,0.0035
A03994R1,0,0.025
A03994R2,0,0.0
A03994R3,0,0.0015
A03995R,0,0.085
A03995R1,0,0.1445
A03995R2,0,0.0755
A03995R3,0,0.1295
A03996R,0,0.0155
A03996R1,0,0.0115
A03996R2,0,0.0095
A03996R3,0,0.027
A03997R,0,0.01
A03997R1,0,0.0225
A03997R2,0,0.0825
A03997R3,0,0.008
A03998R,0,0.3475
A03998R1,0,0.345
A03998R2,0,0.334
A03998R3,0,0.301
A03999R,0,0.0195
A03999R1,0,0.0265
A03999R2,0,0.008
A03999R3,0,0.0385
A04000R,0,0.1855
A04000R1,0,0.2645
A04000R2,0,0.1945
A04000R3,0,0.2485
A04001R,0,0.0735
A04001R1,0,0.0665
A04001R2,0,0.08
A04001R3,0,0.0715
A04002R,0,0.0
A04002R1,0,0.0005
A04002R2,0,0.0005
A04002R3,0,0.0
A04003R,1,0.8025
A04003R1,1,0.749
A04003R2,1,0.7775
A04003R3,1,0.7445
A04004R,0,0.1455
A04004R1,0,0.07
A04004R2,0,0.068
A04004R3,0,0.0955
A04005R,0,0.0325
A04005R1,0,0.005
