PepID,AMPLabel,Prob
A03601,1,0.492
A03602,0,0.1
A03603,0,0.16
A03604,0,0.145
A03605,0,0.088
A03606,0,0.068
A03607,0,0.021
A03608,0,0.173
A03609,0,0.073
A03610,0,0.343
A03611,1,0.681
A03612,0,0.104
A03613,0,0.177
A03614,0,0.051
A03615,0,0.261
A03616,0,0.051
A03617,0,0.145
A03618,0,0.449
A03619,0,0.124
A03620,0,0.103
A03621,0,0.04
A03622,1,0.603
A03623,0,0.216
A03624,0,0.305
A03625,1,0.527
A03626,0,0.168
A03627,0,0.221
A03628,0,0.329
A03629,0,0.218
A03630,0,0.391
A03631,0,0.138
A03632,0,0.025
A03633,0,0.142
A03634,0,0.163
A03635,0,0.052
A03636,0,0.127
A03637,0,0.255
A03638,1,0.548
A03639,0,0.04
A03640,0,0.016
A03641,0,0.481
A03642,0,0.04
A03643,0,0.097
A03644,0,0.069
A03645,0,0.403
A03646,0,0.072
A03647,0,0.2
A03648,0,0.454
A03649,0,0.178
A03650,0,0.478
A03651,0,0.189
A03652,0,0.011
A03653,0,0.028
A03654,0,0.094
A03655,0,0.01
A03656,0,0.004
A03657,0,0.115
A03658,0,0.038
A03659,0,0.005
A03660,0,0.192
A03661,0,0.163
A03662,0,0.377
A03663,0,0.343
A03664,1,0.772
A03665,0,0.064
A03666,0,0.179
A03667,0,0.011
A03668,0,0.194
A03669,0,0.255
A03670,0,0.133
A03671,0,0.046
A03672,0,0.156
A03673,0,0.022
A03674,0,0.157
A03675,0,0.271
A03676,0,0.064
A03677,0,0.005
A03678,0,0.0
A03679,1,0.611
A03680,1,0.502
A03681,0,0.478
A03682,0,0.124
A03683,1,0.622
A03684,0,0.069
A03685,0,0.194
A03686,0,0.165
A03687,0,0.409
A03688,0,0.021
A03689,1,0.611
A03690,0,0.068
A03691,1,0.588
A03692,1,0.854
A03693,0,0.08
A03694,1,0.841
A03695,1,0.723
A03696,0,0.228
A03697,0,0.208
A03698,0,0.045
A03699,0,0.195
A03700,1,0.488
A03701,1,0.563
A03702,0,0.072
A03703,0,0.085
A03704,0,0.049
A03705,0,0.007
A03706,0,0.095
A03707,0,0.361
A03708,0,0.304
A03709,0,0.087
A03710,0,0.461
A03711,0,0.177
A03712,1,0.841
A03713,0,0.111
A03714,1,0.811
A03715,0,0.051
A03716,0,0.248
A03717,1,0.798
A03718,0,0.178
A03719,1,0.571
A03720,0,0.086
A03721,0,0.307
A03722,0,0.293
A03723,0,0.053
A03724,0,0.347
A03725,1,0.628
A03726,0,0.023
A03727,0,0.018
A03728,0,0.344
A03729,0,0.062
A03730,0,0.035
A03731,0,0.149
A03732,0,0.11
A03733,0,0.037
A03734,0,0.061
A03735,0,0.2
A03736,0,0.425
A03737,0,0.188
A03738,0,0.267
A03739,0,0.04
A03740,0,0.054
A03741,0,0.186
A03742,0,0.088
A03743,0,0.337
A03744,0,0.319
A03745,0,0.09
A03746,0,0.018
A03747,0,0.038
A03748,1,0.661
A03749,0,0.112
A03750,0,0.039
A03751,0,0.142
A03752,1,0.562
A03753,0,0.151
A03754,0,0.317
A03755,1,0.836
A03756,1,0.557
A03757,0,0.062
A03758,0,0.123
A03759,0,0.044
A03760,0,0.123
A03761,0,0.311
A03762,0,0.05
A03763,0,0.088
A03764,0,0.172
A03765,0,0.307
A03766,0,0.06
A03767,0,0.148
A03768,1,0.536
A03769,0,0.225
A03770,0,0.13
A03771,1,0.543
A03772,0,0.179
A03773,0,0.038
A03774,0,0.006
A03775,0,0.165
A03776,1,0.495
A03777,0,0.045
A03778,0,0.057
A03779,0,0.094
A03780,0,0.14
A03781,0,0.462
A03782,0,0.112
A03783,0,0.248
A03784,0,0.196
A03785,0,0.07
A03786,0,0.148
A03787,0,0.102
A03788,0,0.006
A03789,0,0.033
A03790,0,0.059
A03791,0,0.025
A03792,0,0.0
A03793,0,0.049
A03794,0,0.14
A03795,0,0.346
A03796,1,0.623
A03797,0,0.213
A03798,1,0.519
A03799,0,0.006
A03800,0,0.028
A03801,0,0.046
A03802,1,0.843
A03803,0,0.055
A03804,1,0.999
A03805,0,0.426
A03806,0,0.031
A03807,0,0.086
A03808,0,0.18
A03809,0,0.148
A03810,0,0.029
A03811,0,0.091
A03812,0,0.426
A03813,0,0.022
A03814,0,0.035
A03815,0,0.156
A03816,0,0.166
A03817,0,0.324
A03818,0,0.244
A03819,0,0.412
A03820,0,0.039
A03821,1,0.697
A03822,0,0.328
A03823,0,0.042
A03824,1,0.581
A03825,0,0.016
A03826,0,0.024
A03827,0,0.075
A03828,0,0.297
A03829,0,0.161
A03830,0,0.176
A03831,0,0.022
A03832,0,0.207
A03833,0,0.315
A03834,1,0.542
A03835,0,0.058
A03836,0,0.164
A03837,0,0.015
A03838,0,0.115
A03839,0,0.231
A03840,1,0.995
A03841,0,0.086
A03842,0,0.051
A03843,0,0.222
A03844,0,0.017
A03845,0,0.064
A03846,0,0.011
A03847,0,0.219
A03848,0,0.083
A03849,0,0.036
A03850,0,0.085
A03851,0,0.216
A03852,0,0.183
A03853,1,0.546
A03854,0,0.083
A03855,0,0.192
A03856,0,0.273
A03857,0,0.168
A03858,0,0.035
A03859,0,0.227
A03860,1,0.619
A03861,0,0.194
A03862,1,0.694
A03863,0,0.082
A03864,0,0.176
A03865,0,0.155
A03866,1,0.565
A03867,0,0.215
A03868,0,0.134
A03869,0,0.281
A03870,0,0.163
A03871,0,0.265
A03872,0,0.182
A03873,0,0.244
A03874,1,0.855
A03875,0,0.058
A03876,0,0.017
A03877,0,0.186
A03878,0,0.258
A03879,0,0.004
A03880,0,0.061
A03881,0,0.073
A03882,0,0.191
A03883,1,0.831
A03884,0,0.003
A03885,0,0.076
A03886,0,0.403
A03887,0,0.084
A03888,1,0.826
A03889,0,0.271
A03890,0,0.015
A03891,0,0.009
A03892,1,0.909
A03893,0,0.015
A03894,0,0.062
A03895,0,0.031
A03896,0,0.066
A03897,0,0.033
A03898,0,0.004
A03899,0,0.253
A03900,1,0.976
A03901,0,0.117
A03902,1,0.584
A03903,1,0.703
A03904,0,0.023
A03905,0,0.111
A03906,0,0.241
A03907,0,0.08
A03908,0,0.082
A03909,0,0.117
A03910,0,0.025
A03911,0,0.095
A03912,0,0.19
A03913,0,0.016
A03914,0,0.006
A03915,0,0.275
A03916,0,0.265
A03917,0,0.208
A03918,0,0.053
A03919,0,0.156
A03920,0,0.26
A03921,0,0.078
A03922,1,0.556
A03923,0,0.078
A03924,0,0.169
A03925,0,0.01
A03926,1,0.747
A03927,0,0.42
A03928,0,0.06
A03929,0,0.239
A03930,0,0.039
A03931,0,0.318
A03932,0,0.274
A03933,0,0.171
A03934,0,0.406
A03935,0,0.481
A03936,0,0.021
A03937,1,0.538
A03938,0,0.042
A03939,0,0.092
A03940,0,0.015
A03941,0,0.156
A03942,1,0.619
A03943,0,0.008
A03944,1,0.5
A03945,1,0.526
A03946,1,0.514
A03947,0,0.043
A03948,0,0.049
A03949,0,0.179
A03950,0,0.045
A03951,0,0.071
A03952,0,0.223
A03953,0,0.159
A03954,0,0.026
A03955,0,0.306
A03956,0,0.048
A03957,0,0.035
A03958,0,0.15
A03959,0,0.025
A03960,0,0.226
A03961,0,0.099
A03962,1,0.569
A03963,1,0.708
A03964,0,0.06
A03965,0,0.073
A03966,1,0.873
A03967,0,0.108
A03968,0,0.29
A03969,0,0.245
A03970,0,0.163
A03971,0,0.21
A03972,0,0.313
A03973,0,0.067
A03974,0,0.429
A03975,0,0.06
A03976,1,0.875
A03977,1,0.598
A03978,0,0.198
A03979,0,0.075
A03980,0,0.079
A03981,0,0.302
A03982,1,0.571
A03983,0,0.475
A03984,0,0.143
A03985,0,0.114
A03986,0,0.098
A03987,0,0.121
A03988,1,0.869
A03989,0,0.182
A03990,0,0.107
A03991,0,0.282
A03992,0,0.081
A03993,0,0.435
A03994,0,0.026
A03995,0,0.212
A03996,0,0.004
A03997,0,0.025
A03998,0,0.362
A03999,0,0.053
A04000,0,0.168
A04001,0,0.046
A04002,0,0.002
A04003,1,0.769
A04004,0,0.065
A04005,0,0.041
A04006,0,0.019
A04007,1,0.924
A04008,0,0.086
A04009,0,0.002
A04010,0,0.064
A04011,0,0.217
A04012,1,0.745
A04013,0,0.181
A04014,0,0.326
A04015,0,0.094
A04016,0,0.183
A04017,0,0.306
A04018,0,0.017
A04019,0,0.032
A04020,0,0.084
A04021,0,0.319
A04022,0,0.058
A04023,0,0.12
A04024,0,0.074
A04025,0,0.375
A04026,0,0.292
A04027,0,0.404
A04028,0,0.137
A04029,0,0.033
A04030,0,0.09
