PepID,AMPLabel,Prob
D00288R,0,0.0
D00288R1,0,0.0
D00288R2,0,0.0
D00288R3,0,0.0
D00289R,0,0.0
D00289R1,0,0.0
D00289R2,0,0.0
D00289R3,1,1.0
D00290R,0,0.0
D00290R1,0,0.0
D00290R2,0,0.0
D00290R3,0,0.0
D00291R,1,1.0
D00291R1,0,0.0
D00291R2,1,1.0
D00291R3,0,0.0
D00292R,1,1.0
D00292R1,0,0.0
D00292R2,0,0.0
D00292R3,0,0.0
D00293R,0,0.0
D00293R1,0,0.0
D00293R2,0,0.0
D00293R3,1,1.0
D00294R,0,0.0
D00294R1,1,1.0
D00294R2,0,0.0
D00294R3,0,0.0
D00295R,0,0.0
D00295R1,0,0.0
D00295R2,0,0.0
D00295R3,1,1.0
D00296R,0,0.0
D00296R1,1,1.0
D00296R2,1,1.0
D00296R3,0,0.0
D00297R,1,1.0
D00297R1,0,0.0
D00297R2,1,1.0
D00297R3,1,1.0
D00298R,1,1.0
D00298R1,0,0.0
D00298R2,0,0.0
D00298R3,0,0.0
D00299R,0,0.0
D00299R1,0,0.0
D00299R2,0,0.0
D00299R3,0,0.0
D00300R,0,0.0
D00300R1,0,0.0
D00300R2,0,0.0
D00300R3,0,0.0
D00301R,0,0.0
D00301R1,0,0.0
D00301R2,0,0.0
D00301R3,1,1.0
D00302R,0,0.0
D00302R1,0,0.0
D00302R2,0,0.0
D00302R3,1,1.0
D00303R,0,0.0
D00303R1,0,0.0
D00303R2,0,0.0
D00303R3,0,0.0
D00304R,0,0.0
D00304R1,0,0.0
D00304R2,0,0.0
D00304R3,0,0.0
D00305R,0,0.0
D00305R1,1,1.0
D00305R2,1,1.0
D00305R3,1,1.0
D00306R,0,0.0
D00306R1,1,1.0
D00306R2,0,0.0
D00306R3,1,1.0
D00307R,1,1.0
D00307R1,0,0.0
D00307R2,0,0.0
D00307R3,1,1.0
D00308R,1,1.0
D00308R1,1,1.0
D00308R2,1,1.0
D00308R3,1,1.0
D00309R,0,0.0
D00309R1,0,0.0
D00309R2,1,1.0
D00309R3,1,1.0
D00310R,0,0.0
D00310R1,0,0.0
D00310R2,0,0.0
D00310R3,0,0.0
D00311R,0,0.0
D00311R1,0,0.0
D00311R2,1,1.0
D00311R3,1,1.0
D00312R,0,0.0
D00312R1,0,0.0
D00312R2,0,0.0
D00312R3,0,0.0
D00313R,0,0.0
D00313R1,0,0.0
D00313R2,0,0.0
D00313R3,0,0.0
D00314R,1,1.0
D00314R1,0,0.0
D00314R2,0,0.0
D00314R3,0,0.0
D00315R,1,1.0
D00315R1,0,0.0
D00315R2,0,0.0
D00315R3,1,1.0
D00316R,1,1.0
D00316R1,1,1.0
D00316R2,1,1.0
D00316R3,1,1.0
D00317R,1,1.0
D00317R1,0,0.0
D00317R2,0,0.0
D00317R3,0,0.0
D00318R,0,0.0
D00318R1,0,0.0
D00318R2,0,0.0
D00318R3,1,1.0
D00319R,1,1.0
D00319R1,1,1.0
D00319R2,1,1.0
D00319R3,0,0.0
D00320R,0,0.0
D00320R1,0,0.0
D00320R2,0,0.0
D00320R3,1,1.0
D00321R,1,1.0
D00321R1,0,0.0
D00321R2,0,0.0
