PepID,AMPLabel,Prob
D00038R,1,0.99
D00038R1,1,0.99
D00038R2,1,0.98
D00038R3,1,0.9299999999999999
D00039R,1,0.89
D00039R1,1,0.94
D00039R2,0,0.0
D00039R3,1,0.96
D00040R,1,0.94
D00040R1,1,0.85
D00040R2,1,0.95
D00040R3,1,1.0
D00041R,1,0.97
D00041R1,1,0.97
D00041R2,1,0.94
D00041R3,1,0.99
D00042R,1,0.91
D00042R1,1,0.91
D00042R2,1,0.99
D00042R3,1,0.91
D00043R,1,0.89
D00043R1,1,0.9
D00043R2,1,1.0
D00043R3,1,0.94
D00044R,1,0.94
D00044R1,1,0.97
D00044R2,1,0.96
D00044R3,1,0.89
D00045R,1,0.94
D00045R1,0,0.0
D00045R2,1,0.96
D00045R3,1,0.9299999999999999
D00046R,1,0.95
D00046R1,0,0.0
D00046R2,1,0.97
D00046R3,0,0.0
D00047R,1,0.95
D00047R1,1,0.9
D00047R2,1,0.89
D00047R3,1,0.91
D00048R,1,0.98
D00048R1,1,0.9299999999999999
D00048R2,1,0.97
D00048R3,1,0.95
D00049R,1,0.91
D00049R1,0,0.0
D00049R2,1,0.94
D00049R3,1,0.78
D00050R,1,0.87
D00050R1,1,0.98
D00050R2,1,0.9
D00050R3,1,0.95
D00051R,1,0.89
D00051R1,1,0.97
D00051R2,1,0.83
D00051R3,1,0.9299999999999999
D00052R,1,0.95
D00052R1,1,0.87
D00052R2,1,0.98
D00052R3,1,0.98
D00053R,1,0.99
D00053R1,1,0.98
D00053R2,1,0.97
D00053R3,0,0.0
D00054R,0,0.0
D00054R1,0,0.0
D00054R2,0,0.0
D00054R3,0,0.0
D00055R,0,0.0
D00055R1,0,0.0
D00055R2,0,0.0
D00055R3,0,0.0
D00056R,0,0.0
D00056R1,1,0.95
D00056R2,1,0.89
D00056R3,1,0.96
D00057R,0,0.0
D00057R1,1,0.88
D00057R2,0,0.0
D00057R3,0,0.0
D00058R,0,0.0
D00058R1,1,0.97
D00058R2,1,0.99
D00058R3,0,0.0
D00059R,0,0.0
D00059R1,1,0.89
D00059R2,1,0.9
D00059R3,0,0.0
D00060R,0,0.0
D00060R1,1,0.94
D00060R2,1,1.0
D00060R3,1,1.0
D00061R,0,0.0
D00061R1,0,0.0
D00061R2,0,0.0
D00061R3,0,0.0
D00062R,0,0.0
D00062R1,1,0.83
D00062R2,0,0.0
D00062R3,0,0.0
D00063R,1,1.0
D00063R1,1,0.8200000000000001
D00063R2,1,0.96
D00063R3,1,0.84
D00064R,1,0.98
D00064R1,1,0.9299999999999999
D00064R2,1,0.97
D00064R3,1,0.95
D00065R,0,0.0
D00065R1,1,0.91
D00065R2,0,0.0
D00065R3,0,0.0
D00066R,0,0.0
D00066R1,1,1.0
D00066R2,1,0.96
D00066R3,0,0.0
D00067R,0,0.0
D00067R1,1,0.89
D00067R2,1,0.98
D00067R3,0,0.0
D00068R,0,0.0
D00068R1,1,0.91
D00068R2,0,0.0
D00068R3,1,0.96
D00069R,0,0.0
D00069R1,1,1.0
D00069R2,0,0.0
D00069R3,1,0.98
D00070R,0,0.0
D00070R1,1,0.99
D00070R2,0,0.0
D00070R3,0,0.0
D00071R,0,0.0
D00071R1,0,0.0
D00071R2,0,0.0
D00071R3,0,0.0
D00072R,1,0.99
D00072R1,0,0.0
D00072R2,1,1.0
D00072R3,0,0.0
D00073R,0,0.0
D00073R1,0,0.0
D00073R2,0,0.0
D00073R3,0,0.0
D00074R,1,0.92
D00074R1,1,0.99
D00074R2,1,0.98
D00074R3,1,1.0
D00075R,1,0.95
D00075R1,1,0.97
D00075R2,1,0.94
D00075R3,1,0.91
D00076R,0,0.0
D00076R1,0,0.0
D00076R2,0,0.0
D00076R3,1,0.83
D00077R,0,0.0
D00077R1,0,0.0
D00077R2,0,0.0
D00077R3,0,0.0
D00078R,0,0.0
D00078R1,0,0.0
D00078R2,0,0.0
D00078R3,0,0.0
D00079R,0,0.0
D00079R1,1,0.87
D00079R2,1,0.9
D00079R3,0,0.0
D00080R,1,0.83
D00080R1,0,0.0
D00080R2,1,0.92
D00080R3,1,0.84
D00081R,0,0.0
D00081R1,0,0.0
D00081R2,0,0.0
D00081R3,0,0.0
D00082R,0,0.0
D00082R1,0,0.0
D00082R2,1,0.98
D00082R3,1,0.88
D00083R,0,0.0
D00083R1,1,0.79
D00083R2,0,0.0
D00083R3,1,0.74
D00084R,0,0.0
D00084R1,1,0.94
D00084R2,0,0.0
D00084R3,0,0.0
D00085R,0,0.0
D00085R1,0,0.0
D00085R2,1,0.97
D00085R3,0,0.0
D00086R,0,0.0
D00086R1,0,0.0
D00086R2,0,0.0
D00086R3,1,0.87
D00087R,0,0.0
D00087R1,0,0.0
D00087R2,0,0.0
D00087R3,0,0.0
D00088R,1,0.89
D00088R1,1,0.96
D00088R2,1,0.9299999999999999
D00088R3,1,0.97
D00089R,0,0.0
D00089R1,0,0.0
D00089R2,1,0.8200000000000001
D00089R3,0,0.0
D00090R,0,0.0
D00090R1,0,0.0
D00090R2,0,0.0
D00090R3,0,0.0
D00091R,1,0.97
D00091R1,0,0.0
D00091R2,1,0.97
D00091R3,1,0.99
D00092R,0,0.0
D00092R1,0,0.0
D00092R2,0,0.0
D00092R3,0,0.0
D00093R,1,0.99
D00093R1,1,0.87
D00093R2,1,0.98
D00093R3,1,0.98
D00094R,0,0.0
D00094R1,0,0.0
D00094R2,1,0.92
D00094R3,0,0.0
D00095R,0,0.0
D00095R1,0,0.0
D00095R2,0,0.0
D00095R3,0,0.0
D00096R,0,0.0
D00096R1,1,0.94
D00096R2,1,1.0
D00096R3,1,0.97
D00097R,0,0.0
D00097R1,1,0.97
D00097R2,0,0.0
D00097R3,1,0.95
D00098R,0,0.0
D00098R1,0,0.0
D00098R2,0,0.0
D00098R3,0,0.0
D00099R,0,0.0
D00099R1,1,0.91
D00099R2,0,0.0
D00099R3,0,0.0
D00100R,0,0.0
D00100R1,1,0.88
D00100R2,1,0.97
D00100R3,1,0.85
D00101R,0,0.0
D00101R1,0,0.0
D00101R2,0,0.0
D00101R3,0,0.0
D00102R,0,0.0
D00102R1,0,0.0
D00102R2,0,0.0
D00102R3,1,1.0
D00103R,0,0.0
D00103R1,0,0.0
D00103R2,1,0.8200000000000001
D00103R3,0,0.0
D00104R,0,0.0
D00104R1,0,0.0
D00104R2,1,0.92
D00104R3,0,0.0
D00105R,0,0.0
D00105R1,0,0.0
D00105R2,0,0.0
D00105R3,0,0.0
D00106R,0,0.0
D00106R1,0,0.0
D00106R2,0,0.0
D00106R3,0,0.0
D00107R,0,0.0
D00107R1,0,0.0
D00107R2,0,0.0
D00107R3,0,0.0
D00108R,0,0.0
D00108R1,0,0.0
D00108R2,0,0.0
D00108R3,0,0.0
D00109R,0,0.0
D00109R2,0,0.0
D00110R,0,0.0
D00110R1,0,0.0
D00110R2,1,0.99
D00110R3,1,0.9299999999999999
D00111R,1,0.79
D00111R1,1,0.96
D00111R2,1,1.0
D00111R3,1,1.0
D00112R,0,0.0
D00112R1,0,0.0
D00112R2,0,0.0
D00112R3,1,1.0
D00109R1,-999,-999
D00109R3,-999,-999
D00113R,0,0.0
D00113R1,0,0.0
D00113R2,0,0.0
D00113R3,1,1.0
D00114R,0,0.0
D00114R1,0,0.0
D00114R2,1,0.92
D00114R3,1,0.81
D00115R,0,0.0
D00115R1,1,0.98
D00115R2,1,0.97
D00115R3,1,0.98
D00116R,0,0.0
D00116R1,0,0.0
D00116R2,0,0.0
D00116R3,0,0.0
