PepID,AMPLabel,Prob
D02288,0,0.156
D02289,0,0.062
D02290,0,0.134
D02291,0,0.048
D02292,0,0.023
D02293,0,0.037
D02294,0,0.043
D02295,0,0.0
D02296,0,0.018
D02297,0,0.045
D02298,0,0.004
D02299,0,0.345
D02300,0,0.06
D02301,0,0.123
D02302,0,0.005
D02303,1,0.736
D02304,0,0.055
D02305,0,0.417
D02306,0,0.22
D02307,0,0.247
D02308,0,0.027
D02309,0,0.08
D02310,0,0.044
D02311,0,0.474
D02312,0,0.061
D02313,0,0.113
D02314,1,0.582
D02315,0,0.03
D02316,0,0.052
D02317,1,1.0
D02318,0,0.014
D02319,0,0.021
D02320,0,0.014
D02321,0,0.157
D02322,0,0.001
D02323,0,0.024
D02324,0,0.338
D02325,1,0.878
D02326,0,0.033
D02327,0,0.04
D02328,0,0.011
D02329,0,0.018
D02330,0,0.069
D02331,0,0.001
D02332,0,0.018
D02333,1,0.844
D02334,1,0.977
D02335,0,0.247
D02336,1,0.87
D02337,0,0.015
D02338,0,0.103
D02339,1,0.836
D02340,0,0.118
D02341,0,0.166
D02342,0,0.003
D02343,1,0.687
D02344,0,0.069
D02345,0,0.281
D02346,0,0.038
D02347,0,0.484
D02348,0,0.256
D02349,0,0.0
D02350,0,0.374
D02351,0,0.13
D02352,1,0.832
D02353,0,0.146
D02354,0,0.082
D02355,0,0.405
D02356,0,0.152
D02357,0,0.177
D02358,0,0.014
D02359,1,0.816
D02360,0,0.022
D02361,0,0.024
D02362,0,0.195
D02363,0,0.268
D02364,1,0.993
D02365,0,0.156
D02366,0,0.041
D02367,0,0.001
D02368,0,0.061
D02369,0,0.021
D02370,1,0.535
D02371,0,0.028
D02372,1,0.991
D02373,0,0.006
D02374,0,0.025
D02375,0,0.062
D02376,0,0.027
D02377,0,0.013
D02378,0,0.035
D02379,1,0.686
D02380,1,0.897
D02381,0,0.004
D02382,1,0.555
D02383,1,0.641
D02384,0,0.023
D02385,0,0.069
D02386,0,0.018
D02387,0,0.007
D02388,0,0.014
D02389,0,0.193
D02390,0,0.022
D02391,0,0.119
D02392,0,0.006
D02393,0,0.003
D02394,0,0.05
D02395,0,0.149
D02396,0,0.025
D02397,0,0.125
D02398,0,0.027
D02399,0,0.21
D02400,0,0.016
D02401,1,0.96
D02402,0,0.004
D02403,0,0.006
D02404,0,0.001
D02405,1,0.868
D02406,0,0.092
D02407,0,0.005
D02408,1,0.682
D02409,0,0.005
D02410,0,0.004
D02411,0,0.036
D02412,0,0.236
D02413,0,0.015
D02414,0,0.009
D02415,0,0.002
D02416,0,0.458
D02417,0,0.02
D02418,0,0.279
D02419,0,0.003
D02420,0,0.004
D02421,1,0.738
D02422,1,0.832
D02423,0,0.166
D02424,0,0.012
D02425,0,0.045
D02426,0,0.024
D02427,0,0.0
D02428,0,0.022
D02429,0,0.013
D02430,1,1.0
D02431,1,1.0
D02432,0,0.065
D02433,1,0.912
D02434,1,1.0
D02435,1,0.78
D02436,1,0.931
D02437,0,0.162
D02438,0,0.015
D02439,0,0.045
D02440,1,1.0
D02441,1,1.0
D02442,0,0.317
D02443,1,1.0
D02444,0,0.009
D02445,1,0.776
D02446,1,1.0
D02447,1,1.0
D02448,0,0.241
D02449,0,0.032
D02450,1,1.0
D02451,0,0.011
D02452,1,1.0
D02453,1,1.0
D02454,1,0.0
D02455,1,1.0
D02456,1,0.0
D02457,1,0.971
D02458,1,1.0
D02459,1,0.999
D02460,0,0.001
D02461,1,1.0
D02462,1,1.0
D02463,0,0.351
D02464,0,0.0
D02465,0,0.142
D02466,1,0.854
D02467,0,0.003
D02468,1,0.504
D02469,0,0.103
D02470,0,0.278
D02471,0,0.044
D02472,0,0.004
D02473,0,0.019
D02474,0,0.145
D02475,0,0.072
D02476,1,0.651
D02477,1,0.991
D02478,0,0.051
D02479,0,0.414
D02480,0,0.024
D02481,1,1.0
D02482,0,0.021
D02483,1,0.507
D02484,1,1.0
D02485,0,0.48
D02486,0,0.046
D02487,0,0.069
D02488,1,1.0
D02489,1,0.996
D02490,1,1.0
D02491,1,1.0
D02492,0,0.072
D02493,0,0.135
D02494,1,1.0
D02495,1,1.0
D02496,0,0.008
D02497,0,0.004
D02498,1,1.0
D02499,1,0.0
D02500,1,1.0
D02501,0,0.005
D02502,1,1.0
D02503,0,0.008
D02504,1,0.903
D02505,1,0.0
D02506,0,0.449
D02507,0,0.117
D02508,0,0.104
D02509,0,0.276
D02510,0,0.002
D02511,0,0.206
D02512,1,1.0
D02513,1,1.0
D02514,0,0.01
D02515,0,0.044
D02516,1,0.768
D02517,0,0.106
D02518,1,0.997
D02519,1,1.0
D02520,0,0.104
D02521,1,1.0
D02522,1,0.968
D02523,1,0.644
D02524,0,0.062
D02525,1,0.606
D02526,0,0.006
D02527,0,0.248
D02528,1,0.834
D02529,1,0.911
D02530,0,0.323
D02531,1,0.56
D02532,0,0.323
D02533,1,0.945
D02534,0,0.002
D02535,1,1.0
D02536,0,0.019
D02537,0,0.078
D02538,1,0.832
D02539,0,0.04
D02540,1,0.795
D02541,0,0.005
D02542,1,1.0
D02543,0,0.399
D02544,1,0.576
D02545,0,0.002
D02546,1,1.0
D02547,-999,-999
D02548,0,0.106
D02549,1,1.0
D02550,1,1.0
D02551,0,0.014
D02552,0,0.289
D02553,0,0.011
D02554,1,0.777
D02555,0,0.015
D02556,0,0.009
D02557,1,0.906
D02558,0,0.002
D02559,1,0.672
D02560,0,0.033
D02561,0,0.115
D02562,0,0.356
D02563,0,0.002
D02564,0,0.02
D02565,0,0.026
D02566,1,0.928
D02567,1,0.519
D02568,0,0.318
D02569,0,0.003
D02570,0,0.003
D02571,0,0.102
D02572,0,0.16
D02573,1,1.0
D02574,1,1.0
D02575,1,0.961
D02576,0,0.007
D02577,0,0.003
D02578,0,0.275
D02579,0,0.222
D02580,0,0.247
D02581,0,0.006
D02582,0,0.001
D02583,0,0.054
D02584,0,0.07
D02585,0,0.013
D02586,0,0.246
D02587,1,0.677
D02588,0,0.003
D02589,0,0.012
D02590,0,0.037
D02591,0,0.144
D02592,1,1.0
D02593,0,0.016
D02594,0,0.034
D02595,0,0.013
D02596,0,0.257
D02597,1,0.91
D02598,1,0.861
D02599,0,0.056
D02600,0,0.005
D02601,1,1.0
D02602,0,0.004
D02603,1,1.0
D02604,1,0.597
D02605,0,0.143
D02606,1,1.0
D02607,0,0.018
D02608,0,0.195
D02609,1,0.975
D02610,1,0.964
D02611,0,0.008
D02612,0,0.315
D02613,1,0.638
D02614,0,0.004
D02615,0,0.027
D02616,1,1.0
D02617,0,0.06
D02618,1,1.0
D02619,1,1.0
D02620,1,1.0
D02621,1,1.0
D02622,1,1.0
D02623,1,1.0
D02624,1,1.0
D02625,1,0.0
D02626,1,0.796
D02627,1,0.0
D02628,0,0.404
D02629,0,0.038
D02630,1,1.0
D02631,0,0.036
D02632,1,1.0
D02633,1,0.985
D02634,0,0.003
D02635,1,0.999
D02636,1,1.0
D02637,0,0.0
D02638,1,0.625
D02639,0,0.005
D02640,0,0.034
D02641,1,1.0
D02642,0,0.4
D02643,1,1.0
D02644,1,0.931
D02645,-999,-999
D02646,1,1.0
D02647,1,0.975
D02648,0,0.03
D02649,1,0.985
D02650,1,1.0
D02651,0,0.005
D02652,1,1.0
D02653,1,1.0
D02654,0,0.004
D02655,1,1.0
D02656,1,1.0
D02657,1,1.0
D02658,1,0.0
D02659,0,0.182
D02660,0,0.014
D02661,0,0.274
D02662,0,0.098
D02663,0,0.018
D02664,0,0.011
D02665,1,0.967
D02666,0,0.054
D02667,1,0.685
D02668,0,0.016
D02669,1,0.64
D02670,0,0.004
D02671,0,0.036
D02672,0,0.002
D02673,0,0.052
D02674,1,0.995
D02675,0,0.439
D02676,1,0.586
D02677,0,0.353
D02678,0,0.099
D02679,0,0.404
D02680,0,0.117
D02681,1,0.742
D02682,0,0.006
D02683,0,0.001
D02684,0,0.321
D02685,0,0.248
D02686,0,0.206
D02687,0,0.191
D02688,0,0.009
D02689,0,0.031
D02690,0,0.002
D02691,0,0.25
D02692,0,0.142
D02693,0,0.049
D02694,1,0.926
D02695,0,0.019
D02696,1,0.669
D02697,0,0.005
D02698,0,0.173
D02699,0,0.039
D02700,1,0.549
D02701,0,0.005
D02702,0,0.007
D02703,0,0.013
D02704,0,0.032
D02705,1,0.596
D02706,1,0.505
D02707,0,0.262
D02708,0,0.083
D02709,0,0.154
D02710,0,0.122
D02711,0,0.113
D02712,0,0.017
D02713,0,0.069
D02714,0,0.378
D02715,0,0.204
D02716,0,0.223
D02717,1,0.696
D02718,0,0.442
D02719,0,0.025
D02720,1,0.959
D02721,0,0.23
D02722,0,0.004
D02723,1,0.99
D02724,0,0.067
D02725,1,0.983
D02726,0,0.005
D02727,1,0.59
D02728,0,0.02
D02729,1,0.87
D02730,0,0.006
D02731,0,0.003
D02732,0,0.176
D02733,0,0.117
D02734,1,1.0
D02735,0,0.075
D02736,1,1.0
D02737,1,1.0
D02738,0,0.001
D02739,0,0.025
D02740,0,0.289
D02741,0,0.366
D02742,0,0.1
D02743,0,0.033
D02744,0,0.01
D02745,0,0.084
D02746,0,0.001
D02747,0,0.003
D02748,0,0.348
D02749,0,0.215
D02750,0,0.021
D02751,0,0.08
D02752,0,0.011
D02753,0,0.154
D02754,0,0.033
D02755,0,0.075
D02756,0,0.031
D02757,0,0.053
D02758,0,0.002
D02759,0,0.218
D02760,0,0.095
D02761,0,0.01
D02762,0,0.116
D02763,0,0.007
D02764,0,0.134
D02765,0,0.146
D02766,0,0.013
D02767,0,0.031
D02768,0,0.027
D02769,0,0.007
D02770,0,0.258
D02771,0,0.126
D02772,0,0.007
D02773,1,0.828
D02774,0,0.037
D02775,0,0.004
D02776,0,0.269
D02777,1,0.945
D02778,0,0.012
D02779,0,0.006
D02780,0,0.027
D02781,0,0.005
D02782,1,0.95
D02783,1,0.53
D02784,0,0.068
D02785,0,0.282
D02786,0,0.167
D02787,0,0.011
D02788,0,0.274
D02789,0,0.037
D02790,0,0.068
D02791,0,0.0
D02792,0,0.303
D02793,0,0.402
D02794,0,0.015
D02795,0,0.004
D02796,0,0.114
D02797,0,0.014
D02798,1,0.563
D02799,0,0.425
D02800,0,0.008
D02801,0,0.426
D02802,0,0.147
D02803,0,0.006
D02804,0,0.047
D02805,0,0.365
D02806,0,0.178
D02807,0,0.117
D02808,0,0.068
D02809,0,0.005
D02810,0,0.03
D02811,0,0.0
D02812,0,0.018
D02813,1,0.701
D02814,0,0.005
D02815,0,0.007
D02816,0,0.003
D02817,0,0.348
D02818,0,0.098
D02819,0,0.339
D02820,0,0.134
D02821,1,0.731
D02822,0,0.122
D02823,0,0.02
D02824,0,0.109
D02825,0,0.14
D02826,0,0.005
D02827,0,0.059
D02828,1,0.538
D02829,0,0.06
D02830,0,0.477
D02831,0,0.015
D02832,1,0.638
D02833,1,0.995
D02834,0,0.003
D02835,0,0.023
D02836,0,0.031
D02837,0,0.016
D02838,0,0.226
D02839,0,0.201
D02840,0,0.053
D02841,0,0.14
D02842,1,0.542
D02843,1,0.777
D02844,1,0.504
D02845,0,0.01
D02846,1,0.948
D02847,0,0.001
D02848,0,0.154
D02849,0,0.429
D02850,0,0.007
D02851,0,0.054
D02852,0,0.06
D02853,0,0.041
D02854,0,0.006
D02855,0,0.201
D02856,0,0.285
D02857,0,0.015
D02858,0,0.02
D02859,0,0.005
D02860,0,0.142
D02861,0,0.028
D02862,0,0.008
D02863,0,0.052
D02864,1,1.0
D02865,1,0.633
D02866,0,0.001
D02867,0,0.101
D02868,0,0.094
D02869,1,0.689
D02870,0,0.138
D02871,0,0.239
D02872,0,0.198
D02873,1,0.728
D02874,0,0.011
D02875,1,0.505
D02876,0,0.062
D02877,0,0.134
D02878,0,0.184
D02879,0,0.033
D02880,0,0.004
D02881,1,0.989
D02882,0,0.435
D02883,0,0.059
D02884,0,0.001
D02885,0,0.125
D02886,1,0.713
D02887,0,0.118
D02888,0,0.06
D02889,0,0.016
D02890,0,0.072
D02891,0,0.009
D02892,0,0.028
D02893,0,0.059
D02894,0,0.024
D02895,0,0.205
D02896,0,0.007
D02897,0,0.05
D02898,0,0.002
D02899,0,0.006
D02900,0,0.003
D02901,1,0.711
D02902,0,0.071
D02903,0,0.012
D02904,0,0.212
D02905,0,0.037
D02906,0,0.277
D02907,0,0.004
D02908,0,0.002
D02909,0,0.09
D02910,0,0.3
D02911,0,0.019
D02912,0,0.064
D02913,0,0.143
D02914,1,0.954
D02915,0,0.01
D02916,0,0.243
D02917,1,0.609
D02918,0,0.006
D02919,0,0.124
D02920,0,0.434
D02921,0,0.0
D02922,0,0.027
D02923,1,0.694
D02924,0,0.043
D02925,1,0.984
D02926,0,0.012
D02927,0,0.069
