PepID,AMPLabel,Prob
A00251R,1,1.0
A00251R1,1,1.0
A00251R2,0,0.0
A00251R3,0,0.0
A00252R,1,1.0
A00252R1,0,0.0
A00252R2,0,0.0
A00252R3,0,0.0
A00253R,0,0.0
A00253R1,0,0.0
A00253R2,1,1.0
A00253R3,1,1.0
A00254R,0,0.0
A00254R1,0,0.0
A00254R2,0,0.0
A00254R3,1,1.0
A00255R,0,0.0
A00255R1,0,0.0
A00255R2,1,1.0
A00255R3,0,0.0
A00256R,0,0.0
A00256R1,0,0.0
A00256R2,0,0.0
A00256R3,1,1.0
A00257R,1,1.0
A00257R1,0,0.0
A00257R2,0,0.0
A00257R3,0,0.0
A00258R,1,1.0
A00258R1,1,1.0
A00258R2,1,1.0
A00258R3,1,1.0
A00259R,1,1.0
A00259R1,1,1.0
A00259R2,1,1.0
A00259R3,1,1.0
A00260R,1,1.0
A00260R1,1,1.0
A00260R2,1,1.0
A00260R3,1,1.0
A00261R,0,0.0
A00261R1,0,0.0
A00261R2,1,1.0
A00261R3,1,1.0
A00262R,1,1.0
A00262R1,1,1.0
A00262R2,1,1.0
A00262R3,0,0.0
A00263R,1,1.0
A00263R1,0,0.0
A00263R2,0,0.0
A00263R3,0,0.0
A00264R,1,1.0
A00264R1,1,1.0
A00264R2,0,0.0
A00264R3,1,1.0
A00265R,1,1.0
A00265R1,0,0.0
A00265R2,0,0.0
A00265R3,1,1.0
A00266R,1,1.0
A00266R1,0,0.0
A00266R2,1,1.0
A00266R3,0,0.0
A00267R,1,1.0
A00267R1,1,1.0
A00267R2,1,1.0
A00267R3,0,0.0
A00268R,1,1.0
A00268R1,0,0.0
A00268R2,0,0.0
A00268R3,0,0.0
A00269R,1,1.0
A00269R1,0,0.0
A00269R2,0,0.0
A00269R3,0,0.0
A00270R,1,1.0
A00270R1,0,0.0
A00270R2,0,0.0
A00270R3,1,1.0
A00271R,1,1.0
A00271R1,1,1.0
A00271R2,0,0.0
A00271R3,1,1.0
A00272R,1,1.0
A00272R1,0,0.0
A00272R2,0,0.0
A00272R3,0,0.0
A00273R,1,1.0
A00273R1,1,1.0
A00273R2,0,0.0
A00273R3,1,1.0
A00274R,1,1.0
A00274R1,1,1.0
A00274R2,1,1.0
A00274R3,0,0.0
A00275R,1,1.0
A00275R1,0,0.0
A00275R2,1,1.0
A00275R3,1,1.0
A00276R,1,1.0
A00276R1,0,0.0
A00276R2,0,0.0
A00276R3,0,0.0
A00277R,1,1.0
A00277R1,0,0.0
A00277R2,1,1.0
A00277R3,0,0.0
A00278R,0,0.0
A00278R1,1,1.0
A00278R2,0,0.0
A00278R3,0,0.0
A00279R,0,0.0
A00279R1,0,0.0
A00279R2,0,0.0
A00279R3,0,0.0
A00280R,0,0.0
A00280R1,0,0.0
A00280R2,0,0.0
A00280R3,1,1.0
A00281R,0,0.0
A00281R1,0,0.0
A00281R2,0,0.0
A00281R3,0,0.0
A00282R,1,1.0
A00282R1,0,0.0
A00282R2,1,1.0
A00282R3,0,0.0
A00283R,1,1.0
A00283R1,0,0.0
A00283R2,0,0.0
A00283R3,0,0.0
A00284R,1,1.0
A00284R1,1,1.0
A00284R2,1,1.0
A00284R3,1,1.0
A00285R,0,0.0
A00285R1,0,0.0
A00285R2,0,0.0
A00285R3,0,0.0
A00286R,0,0.0
A00286R1,0,0.0
